,Title,Locality,Furnishing,Built_up_area,Lease_type,Available_from,Price,Bathrooms,Balcony,Carpet_area,Gas_Pipeline,Gate_Community,Floor_number,Total_floors,BHK_Number,Property_Title,Locality_area
138,3 BHK Flat for Rent,"Varthur, Bangalore",Semi Furnished,1905,Family,2025-11-25,61000,3,2.0,850.0,1,1,2.0,26.0,3.0,Flat,Varthur
139,3 BHK Flat for Rent,"Lingadheeranahalli, Bangalore",Semi Furnished,1700,Family,2025-11-25,50000,3,1.0,850.0,0,1,7.0,20.0,3.0,Flat,Lingadheeranahalli
140,2 BHK Independent Builder Floor for Rent,"HSR Layout, Bangalore",Semi Furnished,600,Family / Bachelor,2025-11-25,35000,2,1.0,550.0,0,0,3.0,5.0,2.0,Independent Builder Floor,HSR Layout
141,3 BHK Flat for Rent,"HSR Layout, Bangalore",Fully Furnished,2160,Family / Bachelor,2025-11-25,95000,3,3.0,1841.0,1,1,1.0,5.0,3.0,Flat,HSR Layout
142,2.5 BHK Flat for Rent,"Hebbal Kempapura, Bangalore",Semi Furnished,1450,Family / Bachelor / Company,2025-11-25,55000,2,1.0,1242.0,1,1,11.0,16.0,2.5,Flat,Hebbal Kempapura
143,2 BHK Flat for Rent,"KPC Layout, Bangalore",Semi Furnished,1021,Family / Bachelor,2025-11-25,34000,2,1.0,843.0,0,1,2.0,5.0,2.0,Flat,KPC Layout
144,3 BHK Flat for Rent,"Varthur, Bangalore",Semi Furnished,1679,Family / Company,2025-11-25,67000,3,1.0,850.0,1,1,25.0,26.0,3.0,Flat,Varthur
145,2 BHK Flat for Rent,"Varthur, Bangalore",Semi Furnished,1259,Family / Company,2025-11-25,51000,2,1.0,850.0,1,1,4.0,26.0,2.0,Flat,Varthur
146,1 BHK Flat for Rent,"BTM Layout, Bangalore",Fully Furnished,680,Family / Bachelor / Company,2025-11-25,23999,1,1.0,620.0,1,0,3.0,6.0,1.0,Flat,BTM Layout
147,2 BHK Flat for Rent,"Munnekollal, Bangalore",Semi Furnished,850,Family / Bachelor,2025-11-25,42000,1,1.0,800.0,0,0,1.0,4.0,2.0,Flat,Munnekollal
148,1 BHK Flat for Rent,"Munnekollal, Bangalore",Fully Furnished,600,Family / Bachelor,2025-11-25,25000,2,1.0,550.0,0,0,1.0,4.0,1.0,Flat,Munnekollal
149,1 BHK Flat for Rent,"Brookefield, Bangalore",Fully Furnished,720,Family / Bachelor / Company,2025-11-25,36000,1,1.0,700.0,0,0,3.0,6.0,1.0,Flat,Brookefield
150,2 BHK Flat for Rent,"Murugeshpalya, Bangalore",Semi Furnished,1100,Family,2025-11-25,40000,1,1.0,1000.0,0,0,3.0,4.0,2.0,Flat,Murugeshpalya
151,1 BHK Flat for Rent,"Brookefield, Bangalore",Fully Furnished,700,Family / Bachelor,2025-11-25,45000,2,1.0,650.0,1,0,4.0,4.0,1.0,Flat,Brookefield
152,1 BHK Flat for Rent,"Brookefield, Bangalore",Fully Furnished,680,Family / Bachelor,2025-11-25,35000,1,1.0,650.0,1,0,2.0,6.0,1.0,Flat,Brookefield
153,1 BHK Flat for Rent,"Brookefield, Bangalore",Fully Furnished,700,Family / Bachelor / Company,2025-11-25,35000,1,1.0,600.0,1,0,2.0,6.0,1.0,Flat,Brookefield
154,1 BHK Flat for Rent,"Whitefield, Bangalore",Fully Furnished,600,Family / Bachelor / Company,2025-11-25,24500,1,1.0,580.0,0,0,3.0,6.0,1.0,Flat,Whitefield
155,1 BHK Flat for Rent,"Whitefield, Bangalore",Semi Furnished,650,Family / Bachelor,2025-11-25,23500,1,1.0,600.0,0,0,3.0,6.0,1.0,Flat,Whitefield
156,1 BHK Flat for Rent,"Brookefield, Bangalore",Semi Furnished,680,Family / Bachelor,2025-11-25,28500,1,1.0,600.0,1,0,5.0,6.0,1.0,Flat,Brookefield
157,1 BHK Flat for Rent,"Brookefield, Bangalore",Semi Furnished,650,Family / Bachelor / Company,2025-11-25,29000,1,1.0,600.0,1,0,2.0,6.0,1.0,Flat,Brookefield
158,1 BHK Flat for Rent,"Brookefield, Bangalore",Fully Furnished,600,Family / Bachelor,2025-11-25,35000,1,2.0,550.0,1,0,2.0,6.0,1.0,Flat,Brookefield
159,1 BHK Flat for Rent,"Brookefield, Bangalore",Fully Furnished,650,Family / Bachelor / Company,2025-11-25,34000,1,1.0,600.0,1,0,2.0,6.0,1.0,Flat,Brookefield
160,1 BHK Independent Builder Floor for Rent,"HSR Layout, Bangalore",Fully Furnished,600,Family / Bachelor / Company,2025-11-25,25500,1,1.0,520.0,0,1,1.0,5.0,1.0,Independent Builder Floor,HSR Layout
161,3 BHK Flat for Rent,"Hebbal Kempapura, Bangalore",Semi Furnished,2927,Family / Bachelor / Company,2025-11-25,120000,3,4.0,2450.0,1,1,1.0,12.0,3.0,Flat,Hebbal Kempapura
162,2 BHK Flat for Rent,"Carmelaram, Bangalore",Semi Furnished,845,Family,2025-11-25,37000,2,1.0,844.0,0,1,5.0,12.0,2.0,Flat,Carmelaram
163,1 RK Flat for Rent,"Varthur, Bangalore",Semi Furnished,510,Family / Bachelor / Company,2025-11-25,26000,1,1.0,850.0,1,1,14.0,26.0,1.0,Flat,Varthur
164,2 BHK Independent Builder Floor for Rent,"Koramangala, Bangalore",Semi Furnished,1500,Family / Bachelor,2025-11-25,70000,2,2.0,1400.0,0,0,6.0,6.0,2.0,Independent Builder Floor,Koramangala
165,1 BHK Independent Builder Floor for Rent,"Koramangala, Bangalore",Fully Furnished,600,Family / Bachelor / Company,2025-11-25,33001,1,1.0,550.0,1,0,2.0,6.0,1.0,Independent Builder Floor,Koramangala
166,1 BHK Independent Builder Floor for Rent,"Koramangala, Bangalore",Fully Furnished,600,Family / Bachelor / Company,2025-11-25,33000,1,1.0,550.0,1,0,2.0,6.0,1.0,Independent Builder Floor,Koramangala
167,2 BHK Flat for Rent,"Teachers Colony, Bangalore",Semi Furnished,1200,Family / Bachelor,2025-11-25,45000,2,1.0,1100.0,0,0,2.0,5.0,2.0,Flat,Teachers Colony
168,3 BHK Flat for Rent,"Balagere, Bangalore",Semi Furnished,1804,Family / Bachelor,2025-11-25,72000,3,3.0,1220.0,0,1,11.0,17.0,3.0,Flat,Balagere
169,1 BHK Independent House for Rent,"Mahadevapura, Bangalore",Semi Furnished,500,Family,2025-11-25,18000,1,1.0,850.0,0,0,3.0,6.0,1.0,Independent House,Mahadevapura
170,3 BHK Flat for Rent,"Narayanapura, Bangalore",Semi Furnished,1440,Family / Bachelor,2025-11-25,45000,2,1.0,1400.0,0,1,8.0,17.0,3.0,Flat,Narayanapura
171,3 BHK Flat for Rent,"Narayanapura, Bangalore",Semi Furnished,1010,Family / Bachelor,2025-11-25,45000,2,1.0,950.0,1,1,13.0,22.0,3.0,Flat,Narayanapura
172,2 BHK Flat for Rent,"Doddakannelli, Bangalore",Semi Furnished,1245,Family,2025-11-25,51000,2,2.0,1000.0,0,1,5.0,14.0,2.0,Flat,Doddakannelli
173,2 BHK Flat for Rent,"Varthur, Bangalore",Semi Furnished,1100,Family / Bachelor / Company,2025-11-25,45000,2,1.0,850.0,1,1,16.0,26.0,2.0,Flat,Varthur
174,1 BHK Independent Builder Floor for Rent,"Muneshwara Nagar, Bangalore",Semi Furnished,600,Family / Bachelor,2025-12-01,16500,1,1.0,500.0,0,0,1.0,4.0,1.0,Independent Builder Floor,Muneshwara Nagar
175,1 BHK Flat for Rent,"Bommanahalli, Bangalore",Semi Furnished,690,Family / Bachelor / Company,2025-11-25,16000,1,1.0,850.0,0,0,5.0,6.0,1.0,Flat,Bommanahalli
176,2 BHK Flat for Rent,"Thanisandra, Bangalore",Semi Furnished,1009,Family / Bachelor,2025-11-25,34000,2,2.0,627.0,1,1,11.0,23.0,2.0,Flat,Thanisandra
177,1 BHK Independent Builder Floor for Rent,"HSR Layout, Bangalore",Semi Furnished,650,Family / Bachelor,2025-11-25,33000,1,1.0,550.0,0,0,2.0,4.0,1.0,Independent Builder Floor,HSR Layout
178,2 BHK Independent Builder Floor for Rent,"HSR Layout, Bangalore",Semi Furnished,1200,Family / Bachelor,2025-11-25,38000,2,1.0,1100.0,0,0,2.0,5.0,2.0,Independent Builder Floor,HSR Layout
179,4 BHK Villa for Rent,"C V Raman Nagar, Bangalore",Semi Furnished,2800,Family / Bachelor,2025-11-25,75000,4,3.0,2500.0,0,1,3.0,6.0,4.0,Villa,C V Raman Nagar
180,2 BHK Flat for Rent,"Konanakunte, Bangalore",Semi Furnished,1240,Family / Bachelor,2025-11-25,37000,2,1.0,1150.0,0,1,15.0,15.0,2.0,Flat,Konanakunte
181,2 BHK Flat for Rent,"Varthur, Bangalore",Semi Furnished,1100,Family / Bachelor / Company,2025-11-25,44000,2,1.0,850.0,1,1,4.0,26.0,2.0,Flat,Varthur
182,2 BHK Flat for Rent,"Electronic City, Bangalore",Fully Furnished,1274,Family / Bachelor / Company,2025-11-25,40000,2,2.0,1200.0,0,1,1.0,10.0,2.0,Flat,Electronic City
183,2 BHK Independent Builder Floor for Rent,"HSR Layout, Bangalore",Semi Furnished,1200,Family / Bachelor,2025-11-25,32000,2,1.0,1100.0,0,0,3.0,4.0,2.0,Independent Builder Floor,HSR Layout
184,2 BHK Independent Builder Floor for Rent,"Nagarbhavi, Bangalore",Semi Furnished,1000,Family,2025-11-25,30000,2,1.0,850.0,0,0,1.0,4.0,2.0,Independent Builder Floor,Nagarbhavi
185,1 BHK Flat for Rent,"Whitefield, Bangalore",Semi Furnished,570,Family / Bachelor,2025-11-25,20000,1,2.0,850.0,0,0,3.0,5.0,1.0,Flat,Whitefield
186,2 BHK Flat for Rent,"Chokkanahalli, Bangalore",Semi Furnished,1600,Family / Bachelor,2025-11-25,42000,2,2.0,850.0,0,1,14.0,16.0,2.0,Flat,Chokkanahalli
187,4 BHK Villa for Rent,"Dommasandra, Bangalore",Semi Furnished,1717,Family,2025-11-25,32000,4,2.0,1545.0,0,1,3.0,6.0,4.0,Villa,Dommasandra
188,2 BHK Independent Builder Floor for Rent,"Bellandur, Bangalore",Unfurnished,1200,Family / Bachelor / Company,2025-11-25,36000,2,2.0,1190.0,1,1,4.0,5.0,2.0,Independent Builder Floor,Bellandur
189,2 BHK Independent Builder Floor for Rent,"Bommanahalli, Bangalore",Semi Furnished,601,Family / Bachelor / Company,2025-11-25,22999,2,1.0,550.0,0,0,3.0,5.0,2.0,Independent Builder Floor,Bommanahalli
190,4 BHK Flat for Rent,"Whitefield, Bangalore",Semi Furnished,2205,Family / Company,2025-11-25,95000,4,3.0,850.0,1,1,10.0,18.0,4.0,Flat,Whitefield
191,2 BHK Flat for Rent,"Gummanahalli, Bangalore",Semi Furnished,974,Family / Bachelor / Company,2025-11-25,20000,2,1.0,850.0,0,1,4.0,21.0,2.0,Flat,Gummanahalli
192,4 BHK Flat for Rent,"Koramangala, Bangalore",Semi Furnished,2403,Family / Company,2025-11-25,200000,5,3.0,2305.0,1,1,8.0,15.0,4.0,Flat,Koramangala
193,2.5 BHK Flat for Rent,"Whitefield, Bangalore",Semi Furnished,1447,Family / Bachelor,2025-11-25,66500,2,1.0,850.0,0,0,4.0,17.0,2.5,Flat,Whitefield
194,1 BHK Flat for Rent,"BTM Layout, Bangalore",Fully Furnished,600,Family / Bachelor / Company,2025-11-25,20000,1,1.0,550.0,1,1,3.0,5.0,1.0,Flat,BTM Layout
195,3 BHK Flat for Rent,"Narayanapura, Bangalore",Semi Furnished,1305,Family / Bachelor / Company,2025-11-25,40001,3,2.0,1023.0,1,1,3.0,21.0,3.0,Flat,Narayanapura
196,2 BHK Flat for Rent,"Electronic City Phase 2, Bangalore",Semi Furnished,830,Family / Bachelor,2025-11-25,22000,2,1.0,850.0,0,1,7.0,10.0,2.0,Flat,Electronic City Phase 2
197,1 BHK Independent Builder Floor for Rent,"HSR Layout, Bangalore",Fully Furnished,720,Family / Bachelor / Company,2025-11-25,35009,1,1.0,610.0,1,1,4.0,6.0,1.0,Independent Builder Floor,HSR Layout
198,2 BHK Flat for Rent,"Electronic City, Bangalore",Semi Furnished,1211,Family,2025-11-25,41500,2,3.0,1014.0,1,1,19.0,21.0,2.0,Flat,Electronic City
199,2.5 BHK Flat for Rent,"Whitefield, Bangalore",Semi Furnished,1447,Family / Bachelor,2025-11-25,67000,2,1.0,850.0,0,0,4.0,17.0,2.5,Flat,Whitefield
200,3 BHK Duplex for Rent,"Byrathi, Bangalore",Semi Furnished,1800,Family / Company,2025-11-25,37000,3,4.0,850.0,1,1,1.0,3.0,3.0,Duplex,Byrathi
201,3 BHK Flat for Rent,"Sahakara Nagar, Bangalore",Fully Furnished,1360,Family / Bachelor,2026-03-01,65000,3,2.0,1134.0,1,1,5.0,14.0,3.0,Flat,Sahakara Nagar
202,3 BHK Flat for Rent,"Kannuru, Bangalore",Fully Furnished,3144,Family / Bachelor / Company,2025-11-25,275003,4,2.0,2644.0,1,1,6.0,16.0,3.0,Flat,Kannuru
203,3 BHK Flat for Rent,"Hebbal Kempapura, Bangalore",Fully Furnished,3449,Family / Bachelor,2025-11-25,150000,3,3.0,850.0,0,1,9.0,13.0,3.0,Flat,Hebbal Kempapura
204,1 BHK Independent Builder Floor for Rent,"BTM Layout, Bangalore",Fully Furnished,550,Family / Bachelor / Company,2025-11-25,26500,1,1.0,490.0,1,1,3.0,6.0,1.0,Independent Builder Floor,BTM Layout
205,1 BHK Independent Builder Floor for Rent,"BTM Layout, Bangalore",Fully Furnished,550,Family / Bachelor / Company,2025-11-25,27000,1,1.0,490.0,1,1,4.0,6.0,1.0,Independent Builder Floor,BTM Layout
206,3 BHK Flat for Rent,"Thanisandra, Bangalore",Semi Furnished,1637,Family / Bachelor / Company,2025-11-25,55005,3,1.0,1633.0,1,1,23.0,33.0,3.0,Flat,Thanisandra
207,2 BHK Independent Builder Floor for Rent,"Ejipura, Bangalore",Semi Furnished,1000,Family / Bachelor,2025-11-25,32000,2,1.0,900.0,0,0,2.0,3.0,2.0,Independent Builder Floor,Ejipura
208,2 BHK Flat for Rent,"Ejipura, Bangalore",Semi Furnished,900,Family / Bachelor,2025-11-25,22500,1,1.0,850.0,0,0,3.0,5.0,2.0,Flat,Ejipura
209,1 BHK Flat for Rent,"Bilekahalli, Bangalore",Semi Furnished,850,Family / Bachelor / Company,2025-11-25,22000,1,1.0,750.0,0,1,5.0,5.0,1.0,Flat,Bilekahalli
210,2 BHK Flat for Rent,"Yelahanka, Bangalore",Semi Furnished,1400,Family / Bachelor / Company,2025-11-25,45000,2,1.0,1350.0,0,1,13.0,18.0,2.0,Flat,Yelahanka
211,1 BHK Independent Builder Floor for Rent,"BTM Layout, Bangalore",Fully Furnished,550,Family / Bachelor / Company,2025-11-25,25600,1,1.0,490.0,1,1,3.0,6.0,1.0,Independent Builder Floor,BTM Layout
212,1 BHK Independent Builder Floor for Rent,"BTM Layout, Bangalore",Fully Furnished,550,Family / Bachelor / Company,2025-11-25,25000,1,1.0,490.0,1,1,2.0,6.0,1.0,Independent Builder Floor,BTM Layout
213,2 BHK Flat for Rent,"Doddakannelli, Bangalore",Semi Furnished,1350,Family / Bachelor,2025-11-25,56000,2,1.0,1050.0,1,1,4.0,20.0,2.0,Flat,Doddakannelli
214,1 BHK Flat for Rent,"Bilekahalli, Bangalore",Semi Furnished,850,Family / Bachelor / Company,2025-11-25,22000,1,1.0,850.0,0,1,5.0,6.0,1.0,Flat,Bilekahalli
215,1 BHK Independent Builder Floor for Rent,"BTM Layout, Bangalore",Fully Furnished,550,Family / Bachelor / Company,2025-11-25,27005,1,1.0,490.0,1,1,3.0,6.0,1.0,Independent Builder Floor,BTM Layout
216,3 BHK Flat for Rent,"Kaggadasapura, Bangalore",Semi Furnished,1600,Family / Bachelor,2025-11-25,60000,2,3.0,1560.0,0,1,5.0,5.0,3.0,Flat,Kaggadasapura
217,1 BHK Independent Builder Floor for Rent,"BTM Layout, Bangalore",Fully Furnished,550,Family / Bachelor / Company,2025-11-25,26000,1,1.0,490.0,1,1,3.0,6.0,1.0,Independent Builder Floor,BTM Layout
218,3 BHK Flat for Rent,"K R Puram, Bangalore",Semi Furnished,1581,Family,2025-11-25,65000,3,2.0,1550.0,0,1,22.0,24.0,3.0,Flat,K R Puram
219,3 BHK Villa for Rent,"Anagalapura, Bangalore",Semi Furnished,2400,Family / Company,2025-11-25,70000,3,2.0,1800.0,0,1,3.0,6.0,3.0,Villa,Anagalapura
220,1 BHK Flat for Rent,"BTM Layout, Bangalore",Fully Furnished,680,Family / Bachelor,2025-11-25,26000,1,1.0,570.0,1,1,3.0,6.0,1.0,Flat,BTM Layout
221,3 BHK Flat for Rent,"Yelahanka, Bangalore",Semi Furnished,1880,Family / Bachelor,2025-11-25,75000,3,1.0,1600.0,0,0,6.0,25.0,3.0,Flat,Yelahanka
222,2 BHK Independent Builder Floor for Rent,"Yelahanka, Bangalore",Semi Furnished,1500,Family / Bachelor / Company,2025-11-25,27000,2,1.0,850.0,1,0,2.0,4.0,2.0,Independent Builder Floor,Yelahanka
223,3 BHK Flat for Rent,"HSR Layout, Bangalore",Semi Furnished,2000,Family / Bachelor,2025-11-25,100000,3,1.0,850.0,0,1,1.0,4.0,3.0,Flat,HSR Layout
224,2 BHK Flat for Rent,"Anchepalya, Bangalore",Semi Furnished,1085,Family / Bachelor / Company,2025-11-25,36000,2,1.0,868.0,1,1,11.0,30.0,2.0,Flat,Anchepalya
225,1 BHK Flat for Rent,"Brookefield, Bangalore",Semi Furnished,650,Family / Bachelor,2025-11-25,30000,1,1.0,600.0,0,0,2.0,6.0,1.0,Flat,Brookefield
226,1 BHK Independent Builder Floor for Rent,"BTM Layout, Bangalore",Fully Furnished,550,Family / Bachelor / Company,2025-11-25,28500,1,1.0,440.0,1,1,2.0,6.0,1.0,Independent Builder Floor,BTM Layout
227,2 BHK Flat for Rent,"Gummanahalli, Bangalore",Semi Furnished,750,Family / Bachelor / Company,2025-11-25,20001,2,1.0,563.0,1,1,15.0,21.0,2.0,Flat,Gummanahalli
228,1 BHK Independent Builder Floor for Rent,"BTM Layout, Bangalore",Fully Furnished,550,Family / Bachelor / Company,2025-11-25,29000,1,1.0,440.0,1,1,2.0,6.0,1.0,Independent Builder Floor,BTM Layout
229,1 BHK Flat for Rent,"BTM Layout, Bangalore",Fully Furnished,620,Family / Bachelor / Company,2025-11-25,25500,1,1.0,600.0,1,1,3.0,6.0,1.0,Flat,BTM Layout
230,1 BHK Flat for Rent,"HSR Layout, Bangalore",Fully Furnished,650,Family / Bachelor,2025-11-25,33000,1,1.0,500.0,0,0,1.0,4.0,1.0,Flat,HSR Layout
231,1 BHK Flat for Rent,"BTM Layout, Bangalore",Fully Furnished,650,Family / Bachelor,2025-11-25,25500,1,1.0,570.0,1,0,3.0,5.0,1.0,Flat,BTM Layout
232,2 BHK Flat for Rent,"Anchepalya, Bangalore",Semi Furnished,984,Family / Bachelor / Company,2025-11-25,30000,2,1.0,787.0,1,1,13.0,30.0,2.0,Flat,Anchepalya
233,3 BHK Flat for Rent,"Narayanapura, Bangalore",Semi Furnished,1305,Family / Bachelor / Company,2025-11-25,40000,3,2.0,1244.0,1,1,3.0,21.0,3.0,Flat,Narayanapura
234,1 BHK Independent Builder Floor for Rent,"BTM Layout, Bangalore",Fully Furnished,550,Family / Bachelor / Company,2025-11-25,28000,1,1.0,440.0,1,1,2.0,6.0,1.0,Independent Builder Floor,BTM Layout
235,2 BHK Flat for Rent,"Anchepalya, Bangalore",Fully Furnished,984,Family / Bachelor / Company,2025-11-25,40000,2,1.0,787.0,1,1,23.0,30.0,2.0,Flat,Anchepalya
236,3 BHK Flat for Rent,"Anchepalya, Bangalore",Fully Furnished,1388,Family / Bachelor / Company,2025-11-25,45000,3,1.0,1110.0,1,1,24.0,30.0,3.0,Flat,Anchepalya
237,3 BHK Flat for Rent,"Narayanapura, Bangalore",Semi Furnished,1700,Family / Bachelor,2025-11-25,52000,3,1.0,1400.0,1,1,5.0,17.0,3.0,Flat,Narayanapura
238,1 BHK Flat for Rent,"BTM Layout, Bangalore",Fully Furnished,550,Family / Bachelor,2025-11-25,27999,1,1.0,500.0,1,1,3.0,5.0,1.0,Flat,BTM Layout
239,1 BHK Independent Builder Floor for Rent,"HSR Layout, Bangalore",Semi Furnished,750,Family / Bachelor / Company,2025-12-01,23000,1,1.0,650.0,1,0,2.0,2.0,1.0,Independent Builder Floor,HSR Layout
240,1 BHK Independent Builder Floor for Rent,"HSR Layout, Bangalore",Fully Furnished,600,Family / Bachelor,2025-11-25,37000,1,1.0,850.0,0,0,2.0,5.0,1.0,Independent Builder Floor,HSR Layout
241,2 BHK Flat for Rent,"Kattigenahalli, Bangalore",Semi Furnished,1200,Family / Bachelor / Company,2025-11-25,39000,2,1.0,850.0,1,1,1.0,4.0,2.0,Flat,Kattigenahalli
242,2 BHK Flat for Rent,"Kannuru, Bangalore",Fully Furnished,2024,Family / Bachelor / Company,2025-11-25,190002,2,1.0,1560.0,1,1,15.0,16.0,2.0,Flat,Kannuru
243,2 BHK Flat for Rent,"Yeswanthpur, Bangalore",Semi Furnished,1102,Family / Bachelor / Company,2025-11-25,40000,2,1.0,980.0,1,1,5.0,9.0,2.0,Flat,Yeswanthpur
244,1 BHK Flat for Rent,"Bilekahalli, Bangalore",Semi Furnished,1000,Family / Bachelor / Company,2025-11-25,20000,1,1.0,750.0,0,1,3.0,5.0,1.0,Flat,Bilekahalli
245,2 BHK Flat for Rent,"Yeswanthpur, Bangalore",Semi Furnished,1400,Family / Bachelor / Company,2025-11-25,45000,2,3.0,1120.0,1,1,8.0,24.0,2.0,Flat,Yeswanthpur
246,3 BHK Flat for Rent,"Yeswanthpur, Bangalore",Fully Furnished,1535,Family / Bachelor / Company,2025-11-25,45000,2,2.0,1228.0,1,1,9.0,24.0,3.0,Flat,Yeswanthpur
247,3 BHK Flat for Rent,"Yeswanthpur, Bangalore",Fully Furnished,1825,Family / Bachelor / Company,2025-11-25,50000,2,3.0,1460.0,1,1,17.0,24.0,3.0,Flat,Yeswanthpur
248,1 BHK Flat for Rent,"Bilekahalli, Bangalore",Fully Furnished,1000,Family / Bachelor / Company,2025-11-25,25000,1,1.0,750.0,0,1,5.0,6.0,1.0,Flat,Bilekahalli
249,2.5 BHK Flat for Rent,"Narayanapura, Bangalore",Fully Furnished,1445,Family / Bachelor,2025-12-01,48000,2,1.0,850.0,1,1,8.0,17.0,2.5,Flat,Narayanapura
250,1 BHK Flat for Rent,"Kannuru, Bangalore",Fully Furnished,1074,Family / Bachelor / Company,2025-11-25,140002,2,1.0,760.0,1,1,9.0,16.0,1.0,Flat,Kannuru
251,1 BHK Flat for Rent,"Anchepalya, Bangalore",Semi Furnished,607,Family / Bachelor / Company,2025-11-25,25000,1,1.0,485.0,1,1,15.0,30.0,1.0,Flat,Anchepalya
252,1 BHK Independent Builder Floor for Rent,"BTM Layout, Bangalore",Fully Furnished,550,Family / Bachelor / Company,2025-11-25,27000,1,1.0,440.0,1,1,2.0,6.0,1.0,Independent Builder Floor,BTM Layout
253,2 BHK Flat for Rent,"Yeswanthpur, Bangalore",Fully Furnished,1400,Family / Bachelor / Company,2025-11-25,50000,2,3.0,1120.0,1,1,11.0,24.0,2.0,Flat,Yeswanthpur
254,3 BHK Flat for Rent,"Yeswanthpur, Bangalore",Semi Furnished,1825,Family / Bachelor / Company,2025-11-25,55000,2,3.0,1460.0,1,1,21.0,24.0,3.0,Flat,Yeswanthpur
255,3 BHK Flat for Rent,"Anchepalya, Bangalore",Fully Furnished,1388,Family / Bachelor / Company,2025-11-25,45000,3,1.0,1110.0,1,1,16.0,30.0,3.0,Flat,Anchepalya
256,3 BHK Flat for Rent,"Anchepalya, Bangalore",Semi Furnished,1388,Family,2025-11-25,40000,3,1.0,1110.0,1,1,15.0,30.0,3.0,Flat,Anchepalya
257,1 BHK Independent Builder Floor for Rent,"HSR Layout, Bangalore",Semi Furnished,750,Family / Bachelor / Company,2025-12-01,28000,1,1.0,700.0,1,0,3.0,4.0,1.0,Independent Builder Floor,HSR Layout
258,2 BHK Flat for Rent,"Ashok Nagar, Bangalore",Semi Furnished,1300,Family,2025-11-25,68000,2,1.0,850.0,1,1,6.0,8.0,2.0,Flat,Ashok Nagar
259,3 BHK Flat for Rent,"Cox Town, Bangalore",Semi Furnished,3372,Family / Bachelor / Company,2025-12-01,202000,5,5.0,2900.0,0,1,10.0,22.0,3.0,Flat,Cox Town
260,2 BHK Flat for Rent,"Kothanur, Bangalore",Semi Furnished,1300,Family / Company,2025-12-01,37000,2,2.0,850.0,1,1,2.0,4.0,2.0,Flat,Kothanur
261,3 BHK Flat for Rent,"Kothanur, Bangalore",Semi Furnished,1750,Family / Company,2025-12-01,47000,3,3.0,850.0,1,1,2.0,4.0,3.0,Flat,Kothanur
262,2 BHK Flat for Rent,"Anchepalya, Bangalore",Unfurnished,1085,Family / Bachelor / Company,2025-11-25,32000,2,1.0,868.0,1,1,25.0,30.0,2.0,Flat,Anchepalya
263,3 BHK Flat for Rent,"Gummanahalli, Bangalore",Semi Furnished,1200,Family / Bachelor / Company,2025-11-25,26000,2,1.0,850.0,0,1,4.0,21.0,3.0,Flat,Gummanahalli
264,1 BHK Flat for Rent,"BTM Layout, Bangalore",Fully Furnished,580,Family / Bachelor,2025-11-25,26000,1,1.0,550.0,1,1,3.0,5.0,1.0,Flat,BTM Layout
265,3 BHK Flat for Rent,"C V Raman Nagar, Bangalore",Semi Furnished,1700,Family,2025-11-25,63000,3,3.0,1650.0,0,1,3.0,7.0,3.0,Flat,C V Raman Nagar
266,2 BHK Independent Builder Floor for Rent,"HSR Layout, Bangalore",Semi Furnished,1200,Family / Bachelor,2025-11-25,41000,2,1.0,1100.0,1,0,3.0,4.0,2.0,Independent Builder Floor,HSR Layout
267,2 BHK Flat for Rent,"Anchepalya, Bangalore",Fully Furnished,1085,Family / Bachelor / Company,2025-11-25,40000,2,1.0,868.0,1,1,18.0,30.0,2.0,Flat,Anchepalya
268,4 BHK Independent House for Rent,"Sanjaynagar, Bangalore",Semi Furnished,3600,Family / Company,2025-11-25,65000,4,2.0,3000.0,1,0,2.0,4.0,4.0,Independent House,Sanjaynagar
269,3 BHK Flat for Rent,"Anchepalya, Bangalore",Semi Furnished,1719,Family / Bachelor / Company,2025-11-25,55000,3,2.0,1375.0,1,1,16.0,30.0,3.0,Flat,Anchepalya
270,1 BHK Independent Builder Floor for Rent,"HSR Layout, Bangalore",Semi Furnished,750,Family / Bachelor / Company,2025-12-01,27000,1,1.0,700.0,1,0,11.0,14.0,1.0,Independent Builder Floor,HSR Layout
271,1 BHK Flat for Rent,"Anchepalya, Bangalore",Fully Furnished,607,Family / Bachelor / Company,2025-11-25,30000,1,1.0,485.0,1,1,17.0,30.0,1.0,Flat,Anchepalya
272,4 BHK Flat for Rent,"Anchepalya, Bangalore",Semi Furnished,2100,Family / Bachelor / Company,2025-11-25,55000,3,2.0,1680.0,1,1,10.0,30.0,4.0,Flat,Anchepalya
273,1 BHK Independent House for Rent,"HSR Layout, Bangalore",Semi Furnished,600,Family / Bachelor,2025-11-25,23000,1,1.0,550.0,0,0,3.0,6.0,1.0,Independent House,HSR Layout
274,2 BHK Flat for Rent,"Gummanahalli, Bangalore",Semi Furnished,798,Family / Bachelor / Company,2025-11-25,21000,2,1.0,850.0,1,1,5.0,21.0,2.0,Flat,Gummanahalli
275,2 BHK Independent Builder Floor for Rent,"HSR Layout, Bangalore",Semi Furnished,1250,Family / Bachelor,2025-12-01,42000,2,2.0,1100.0,1,0,2.0,4.0,2.0,Independent Builder Floor,HSR Layout
276,2 BHK Flat for Rent,"Sahakara Nagar, Bangalore",Fully Furnished,1200,Family / Bachelor / Company,2025-11-25,32000,2,1.0,1000.0,0,1,3.0,4.0,2.0,Flat,Sahakara Nagar
