,Title,Locality,Furnishing,Built_up_area,Lease_type,Available_from,Price,Bathrooms,Balcony,Carpet_area,Gas_Pipeline,Gate_Community,Floor_number,Total_floors,BHK_Number,Property_Title,Locality_area
15,2 BHK Flat for Rent,"Gunjur Village, Bangalore",Semi Furnished,980,Family / Bachelor,2025-11-25,40000,2,1.0,900.0,0,1,1.0,5.0,2.0,Flat,Gunjur Village
16,2 BHK Flat for Rent,"Varthur, Bangalore",Semi Furnished,1102,Family / Bachelor / Company,2025-11-25,45000,2,1.0,850.0,1,1,13.0,26.0,2.0,Flat,Varthur
17,1 BHK Flat for Rent,"Hebbal Kempapura, Byatarayanapura CMC And OG Part",Semi Furnished,600,Family / Bachelor,2025-11-25,17000,1,1.0,550.0,0,0,1.0,5.0,1.0,Flat,"Hebbal Kempapura, Byatarayanapura CMC And OG Part"
18,4 BHK Flat for Rent,"Nagavara, Bangalore",Semi Furnished,2980,Family / Company,2025-11-25,100000,4,1.0,1890.0,0,1,12.0,34.0,4.0,Flat,Nagavara
19,3 BHK Flat for Rent,"Narayanapura, Bangalore",Semi Furnished,1300,Family,2025-11-25,37100,3,1.0,1250.0,0,1,1.0,4.0,3.0,Flat,Narayanapura
20,1 BHK Flat for Rent,"Uttarahalli -Manavarthekaval, Bangalore",Semi Furnished,584,Family / Bachelor / Company,2025-11-25,22500,1,1.0,572.0,0,1,12.0,14.0,1.0,Flat,Uttarahalli -Manavarthekaval
21,1 BHK Flat for Rent,"Kadugodi, Bangalore",Semi Furnished,750,Family / Bachelor,2025-11-25,20000,1,1.0,650.0,0,1,1.0,6.0,1.0,Flat,Kadugodi
22,1 RK Studio for Rent,"BTM Layout, Bangalore",Fully Furnished,450,Family / Bachelor / Company,2025-11-25,15000,1,1.0,400.0,0,1,3.0,6.0,1.0,Studio,BTM Layout
23,2 BHK Flat for Rent,"Choodasandra, Bangalore",Semi Furnished,1200,Family / Bachelor,2026-10-01,42100,2,1.0,1100.0,1,1,3.0,6.0,2.0,Flat,Choodasandra
24,4 BHK Flat for Rent,"Chokkanahalli, Bangalore",Semi Furnished,3000,Family / Bachelor,2025-11-25,85000,4,3.0,850.0,0,1,4.0,16.0,4.0,Flat,Chokkanahalli
25,1 BHK Flat for Rent,"Brookefield, Bangalore",Semi Furnished,600,Family / Bachelor,2025-11-25,24000,1,1.0,550.0,0,0,3.0,5.0,1.0,Flat,Brookefield
26,3 BHK Independent Builder Floor for Rent,"HSR Layout, Bangalore",Semi Furnished,2400,Family / Bachelor,2025-11-01,80000,3,1.0,2000.0,1,0,1.0,3.0,3.0,Independent Builder Floor,HSR Layout
27,3 BHK Flat for Rent,"Whitefield, Bangalore",Fully Furnished,1500,Family / Bachelor,2025-11-25,65000,2,2.0,850.0,1,1,2.0,4.0,3.0,Flat,Whitefield
28,1.5 BHK Flat for Rent,"Varthur, Bangalore",Semi Furnished,640,Family / Bachelor,2025-12-01,36500,1,1.0,484.0,1,1,25.0,26.0,1.5,Flat,Varthur
