Title,Locality,Furnishing,Built_up_area,Lease_type,Available_from,Price,Bathrooms,Balcony,Carpet_area,Gas_Pipeline,Gate_Community,Floor_number,Total_floors,BHK_Number,Property_Title,Locality_area
3 BHK Flat for Rent,"Sanjaynagar, Bangalore",Semi Furnished,1800,Family / Company,Available now,65000,3,1.0,1750.0,Yes,No,2.0,4.0,3,Flat,Sanjaynagar
1 BHK Flat for Rent,"Jakkur, Bangalore",Fully Furnished,750,Family / Bachelor / Company,Available now,23000,1,1.0,650.0,Yes,Yes,1.0,4.0,1,Flat,Jakkur
2 BHK Flat for Rent,"Jakkur, Bangalore",Semi Furnished,1230,Family,Available now,28000,2,2.0,1125.0,Yes,Yes,2.0,4.0,2,Flat,Jakkur
1 BHK Flat for Rent,"Munnekollal, Bangalore",Semi Furnished,625,Family / Bachelor,Available now,17000,1,1.0,600.0,No,No,2.0,5.0,1,Flat,Munnekollal
1 BHK Independent Builder Floor for Rent,"HSR Layout, Bangalore",Fully Furnished,600,Family / Bachelor / Company,Available now,25600,1,1.0,520.0,No,Yes,1.0,5.0,1,Independent Builder Floor,HSR Layout
3 BHK Flat for Rent,"Nagavara, Bangalore",Fully Furnished,2347,Family / Company,Available now,115000,3,1.0,1980.0,Yes,Yes,24.0,34.0,3,Flat,Nagavara
1 BHK Flat for Rent,"HSR Layout, Bangalore",Semi Furnished,650,Family / Bachelor,Available now,30000,1,1.0,600.0,Yes,No,5.0,5.0,1,Flat,HSR Layout
2 BHK Flat for Rent,"GB Palya, Bangalore",Semi Furnished,1008,Family,Available now,37000,2,1.0,980.0,Yes,No,2.0,5.0,2,Flat,GB Palya
1 BHK Flat for Rent,"Thanisandra, Bangalore",Semi Furnished,600,Family / Bachelor / Company,Available now,18000,1,1.0,500.0,No,Yes,2.0,4.0,1,Flat,Thanisandra
1 BHK Flat for Rent,"Nagavara, Bangalore",Fully Furnished,700,Family / Bachelor / Company,Available now,24000,1,1.0,650.0,Yes,Yes,2.0,5.0,1,Flat,Nagavara
1 BHK Flat for Rent,"R.K. Hegde Nagar, Bangalore",Fully Furnished,610,Family / Bachelor / Company,Available now,21000,1,1.0,550.0,Yes,No,3.0,3.0,1,Flat,R.K. Hegde Nagar
2 BHK Independent Builder Floor for Rent,"HSR Layout, Bangalore",Fully Furnished,1000,Family / Bachelor,"Dec, 2025",54000,2,2.0,900.0,No,No,3.0,5.0,2,Independent Builder Floor,HSR Layout
2 BHK Independent Builder Floor for Rent,"HSR Layout, Bangalore",Semi Furnished,1000,Family / Bachelor,Available now,38000,2,1.0,900.0,No,No,2.0,4.0,2,Independent Builder Floor,HSR Layout
2 BHK Independent Builder Floor for Rent,"HSR Layout, Bangalore",Semi Furnished,1180,Family / Bachelor,"Nov, 2025",45500,2,2.0,850.0,No,No,5.0,6.0,2,Independent Builder Floor,HSR Layout
1 BHK Flat for Rent,"S.G. Palya, Bangalore",Fully Furnished,744,Family / Bachelor / Company,Available now,25000,1,1.0,670.0,Yes,Yes,1.0,6.0,1,Flat,S.G. Palya
2 BHK Flat for Rent,"HBR Layout, Bangalore",Semi Furnished,1400,Family / Company,Available now,35000,2,2.0,1300.0,Yes,Yes,1.0,4.0,2,Flat,HBR Layout
1 BHK Independent Builder Floor for Rent,"HSR Layout, Bangalore",Fully Furnished,700,Family / Bachelor / Company,Available now,35200,1,1.0,610.0,Yes,Yes,4.0,6.0,1,Independent Builder Floor,HSR Layout
4 BHK Flat for Rent,"RMV Extension Stage 2, Bangalore",Semi Furnished,2800,Family / Bachelor / Company,Available now,180000,4,3.0,2750.0,Yes,Yes,5.0,25.0,4,Flat,RMV Extension Stage 2
1 BHK Flat for Rent,"BTM Layout, Bangalore",Semi Furnished,766,Family / Bachelor / Company,Available now,13999,1,1.0,621.0,Yes,No,1.0,6.0,1,Flat,BTM Layout
1 BHK Flat for Rent,"R.K. Hegde Nagar, Bangalore",Semi Furnished,750,Family / Bachelor / Company,Available now,18000,1,2.0,650.0,Yes,Yes,3.0,4.0,1,Flat,R.K. Hegde Nagar
1 BHK Flat for Rent,"S.G. Palya, Bangalore",Fully Furnished,690,Family / Bachelor,Available now,29000,1,1.0,600.0,Yes,Yes,5.0,7.0,1,Flat,S.G. Palya
1 BHK Flat for Rent,"Kannuru, Bangalore",Fully Furnished,1074,Family / Bachelor / Company,Available now,150008,2,1.0,754.0,Yes,Yes,4.0,16.0,1,Flat,Kannuru
4 BHK Flat for Rent,"Jakkur, Bangalore",Semi Furnished,2020,Family / Company,Available now,90000,4,1.0,1980.0,No,Yes,7.0,19.0,4,Flat,Jakkur
3 BHK Independent House for Rent,"Mahadevapura, Bangalore",Semi Furnished,1200,Family / Bachelor,"Dec, 2025",45500,2,1.0,850.0,No,No,3.0,6.0,3,Independent House,Mahadevapura
