Title,Locality,Furnishing,Built_up_area,Lease_type,Available_from,Price,Bathrooms,Balcony,Carpet_area,Gas_Pipeline,Gate_Community,Floor_number,Total_floors,BHK_Number,Property_Title,Locality_area
1 BHK Flat for Rent,"BTM Layout, Bangalore",Fully Furnished,680,Family / Bachelor,Available now,26000,1,1.0,570.0,Yes,Yes,3.0,6.0,1,Flat,BTM Layout
3 BHK Flat for Rent,"Yelahanka, Bangalore",Semi Furnished,1880,Family / Bachelor,Available now,75000,3,1.0,1600.0,No,No,6.0,25.0,3,Flat,Yelahanka
2 BHK Independent Builder Floor for Rent,"Yelahanka, Bangalore",Semi Furnished,1500,Family / Bachelor / Company,Available now,27000,2,1.0,850.0,Yes,No,2.0,4.0,2,Independent Builder Floor,Yelahanka
3 BHK Flat for Rent,"HSR Layout, Bangalore",Semi Furnished,2000,Family / Bachelor,Available now,100000,3,1.0,850.0,No,Yes,1.0,4.0,3,Flat,HSR Layout
2 BHK Flat for Rent,"Anchepalya, Bangalore",Semi Furnished,1085,Family / Bachelor / Company,Available now,36000,2,1.0,868.0,Yes,Yes,11.0,30.0,2,Flat,Anchepalya
1 BHK Flat for Rent,"Brookefield, Bangalore",Semi Furnished,650,Family / Bachelor,Available now,30000,1,1.0,600.0,No,No,2.0,6.0,1,Flat,Brookefield
1 BHK Independent Builder Floor for Rent,"BTM Layout, Bangalore",Fully Furnished,550,Family / Bachelor / Company,Available now,28500,1,1.0,440.0,Yes,Yes,2.0,6.0,1,Independent Builder Floor,BTM Layout
2 BHK Flat for Rent,"Gummanahalli, Bangalore",Semi Furnished,750,Family / Bachelor / Company,Available now,20001,2,1.0,563.0,Yes,Yes,15.0,21.0,2,Flat,Gummanahalli
1 BHK Independent Builder Floor for Rent,"BTM Layout, Bangalore",Fully Furnished,550,Family / Bachelor / Company,Available now,29000,1,1.0,440.0,Yes,Yes,2.0,6.0,1,Independent Builder Floor,BTM Layout
1 BHK Flat for Rent,"BTM Layout, Bangalore",Fully Furnished,620,Family / Bachelor / Company,Available now,25500,1,1.0,600.0,Yes,Yes,3.0,6.0,1,Flat,BTM Layout
1 BHK Flat for Rent,"HSR Layout, Bangalore",Fully Furnished,650,Family / Bachelor,Available now,33000,1,1.0,500.0,No,No,1.0,4.0,1,Flat,HSR Layout
1 BHK Flat for Rent,"BTM Layout, Bangalore",Fully Furnished,650,Family / Bachelor,Available now,25500,1,1.0,570.0,Yes,No,3.0,5.0,1,Flat,BTM Layout
2 BHK Flat for Rent,"Anchepalya, Bangalore",Semi Furnished,984,Family / Bachelor / Company,Available now,30000,2,1.0,787.0,Yes,Yes,13.0,30.0,2,Flat,Anchepalya
3 BHK Flat for Rent,"Narayanapura, Bangalore",Semi Furnished,1305,Family / Bachelor / Company,Available now,40000,3,2.0,1244.0,Yes,Yes,3.0,21.0,3,Flat,Narayanapura
1 BHK Independent Builder Floor for Rent,"BTM Layout, Bangalore",Fully Furnished,550,Family / Bachelor / Company,Available now,28000,1,1.0,440.0,Yes,Yes,2.0,6.0,1,Independent Builder Floor,BTM Layout
2 BHK Flat for Rent,"Anchepalya, Bangalore",Fully Furnished,984,Family / Bachelor / Company,Available now,40000,2,1.0,787.0,Yes,Yes,23.0,30.0,2,Flat,Anchepalya
3 BHK Flat for Rent,"Anchepalya, Bangalore",Fully Furnished,1388,Family / Bachelor / Company,Available now,45000,3,1.0,1110.0,Yes,Yes,24.0,30.0,3,Flat,Anchepalya
3 BHK Flat for Rent,"Narayanapura, Bangalore",Semi Furnished,1700,Family / Bachelor,Available now,52000,3,1.0,1400.0,Yes,Yes,5.0,17.0,3,Flat,Narayanapura
1 BHK Flat for Rent,"BTM Layout, Bangalore",Fully Furnished,550,Family / Bachelor,Available now,27999,1,1.0,500.0,Yes,Yes,3.0,5.0,1,Flat,BTM Layout
1 BHK Independent Builder Floor for Rent,"HSR Layout, Bangalore",Semi Furnished,750,Family / Bachelor / Company,"Dec, 2025",23000,1,1.0,650.0,Yes,No,2.0,2.0,1,Independent Builder Floor,HSR Layout
1 BHK Independent Builder Floor for Rent,"HSR Layout, Bangalore",Fully Furnished,600,Family / Bachelor,Available now,37000,1,1.0,850.0,No,No,2.0,5.0,1,Independent Builder Floor,HSR Layout
2 BHK Flat for Rent,"Kattigenahalli, Bangalore",Semi Furnished,1200,Family / Bachelor / Company,Available now,39000,2,1.0,850.0,Yes,Yes,1.0,4.0,2,Flat,Kattigenahalli
2 BHK Flat for Rent,"Kannuru, Bangalore",Fully Furnished,2024,Family / Bachelor / Company,Available now,190002,2,1.0,1560.0,Yes,Yes,15.0,16.0,2,Flat,Kannuru
2 BHK Flat for Rent,"Yeswanthpur, Bangalore",Semi Furnished,1102,Family / Bachelor / Company,Available now,40000,2,1.0,980.0,Yes,Yes,5.0,9.0,2,Flat,Yeswanthpur
1 BHK Flat for Rent,"Bilekahalli, Bangalore",Semi Furnished,1000,Family / Bachelor / Company,Available now,20000,1,1.0,750.0,No,Yes,3.0,5.0,1,Flat,Bilekahalli
2 BHK Flat for Rent,"Yeswanthpur, Bangalore",Semi Furnished,1400,Family / Bachelor / Company,Available now,45000,2,3.0,1120.0,Yes,Yes,8.0,24.0,2,Flat,Yeswanthpur
3 BHK Flat for Rent,"Yeswanthpur, Bangalore",Fully Furnished,1535,Family / Bachelor / Company,Available now,45000,2,2.0,1228.0,Yes,Yes,9.0,24.0,3,Flat,Yeswanthpur
3 BHK Flat for Rent,"Yeswanthpur, Bangalore",Fully Furnished,1825,Family / Bachelor / Company,Available now,50000,2,3.0,1460.0,Yes,Yes,17.0,24.0,3,Flat,Yeswanthpur
1 BHK Flat for Rent,"Bilekahalli, Bangalore",Fully Furnished,1000,Family / Bachelor / Company,Available now,25000,1,1.0,750.0,No,Yes,5.0,6.0,1,Flat,Bilekahalli
2.5 BHK Flat for Rent,"Narayanapura, Bangalore",Fully Furnished,1445,Family / Bachelor,"Dec, 2025",48000,2,1.0,850.0,Yes,Yes,8.0,17.0,2.5,Flat,Narayanapura
1 BHK Flat for Rent,"Kannuru, Bangalore",Fully Furnished,1074,Family / Bachelor / Company,Available now,140002,2,1.0,760.0,Yes,Yes,9.0,16.0,1,Flat,Kannuru
1 BHK Flat for Rent,"Anchepalya, Bangalore",Semi Furnished,607,Family / Bachelor / Company,Available now,25000,1,1.0,485.0,Yes,Yes,15.0,30.0,1,Flat,Anchepalya
1 BHK Independent Builder Floor for Rent,"BTM Layout, Bangalore",Fully Furnished,550,Family / Bachelor / Company,Available now,27000,1,1.0,440.0,Yes,Yes,2.0,6.0,1,Independent Builder Floor,BTM Layout
2 BHK Flat for Rent,"Yeswanthpur, Bangalore",Fully Furnished,1400,Family / Bachelor / Company,Available now,50000,2,3.0,1120.0,Yes,Yes,11.0,24.0,2,Flat,Yeswanthpur
3 BHK Flat for Rent,"Yeswanthpur, Bangalore",Semi Furnished,1825,Family / Bachelor / Company,Available now,55000,2,3.0,1460.0,Yes,Yes,21.0,24.0,3,Flat,Yeswanthpur
3 BHK Flat for Rent,"Anchepalya, Bangalore",Fully Furnished,1388,Family / Bachelor / Company,Available now,45000,3,1.0,1110.0,Yes,Yes,16.0,30.0,3,Flat,Anchepalya
3 BHK Flat for Rent,"Anchepalya, Bangalore",Semi Furnished,1388,Family,Available now,40000,3,1.0,1110.0,Yes,Yes,15.0,30.0,3,Flat,Anchepalya
1 BHK Independent Builder Floor for Rent,"HSR Layout, Bangalore",Semi Furnished,750,Family / Bachelor / Company,"Dec, 2025",28000,1,1.0,700.0,Yes,No,3.0,4.0,1,Independent Builder Floor,HSR Layout
2 BHK Flat for Rent,"Ashok Nagar, Bangalore",Semi Furnished,1300,Family,Available now,68000,2,1.0,850.0,Yes,Yes,6.0,8.0,2,Flat,Ashok Nagar
3 BHK Flat for Rent,"Cox Town, Bangalore",Semi Furnished,3372,Family / Bachelor / Company,"Dec, 2025",202000,5,5.0,2900.0,No,Yes,10.0,22.0,3,Flat,Cox Town
2 BHK Flat for Rent,"Kothanur, Bangalore",Semi Furnished,1300,Family / Company,"Dec, 2025",37000,2,2.0,850.0,Yes,Yes,2.0,4.0,2,Flat,Kothanur
3 BHK Flat for Rent,"Kothanur, Bangalore",Semi Furnished,1750,Family / Company,"Dec, 2025",47000,3,3.0,850.0,Yes,Yes,2.0,4.0,3,Flat,Kothanur
2 BHK Flat for Rent,"Anchepalya, Bangalore",Unfurnished,1085,Family / Bachelor / Company,Available now,32000,2,1.0,868.0,Yes,Yes,25.0,30.0,2,Flat,Anchepalya
3 BHK Flat for Rent,"Gummanahalli, Bangalore",Semi Furnished,1200,Family / Bachelor / Company,Available now,26000,2,1.0,850.0,No,Yes,4.0,21.0,3,Flat,Gummanahalli
1 BHK Flat for Rent,"BTM Layout, Bangalore",Fully Furnished,580,Family / Bachelor,Available now,26000,1,1.0,550.0,Yes,Yes,3.0,5.0,1,Flat,BTM Layout
3 BHK Flat for Rent,"C V Raman Nagar, Bangalore",Semi Furnished,1700,Family,Available now,63000,3,3.0,1650.0,No,Yes,3.0,7.0,3,Flat,C V Raman Nagar
2 BHK Independent Builder Floor for Rent,"HSR Layout, Bangalore",Semi Furnished,1200,Family / Bachelor,Available now,41000,2,1.0,1100.0,Yes,No,3.0,4.0,2,Independent Builder Floor,HSR Layout
2 BHK Flat for Rent,"Anchepalya, Bangalore",Fully Furnished,1085,Family / Bachelor / Company,Available now,40000,2,1.0,868.0,Yes,Yes,18.0,30.0,2,Flat,Anchepalya
4 BHK Independent House for Rent,"Sanjaynagar, Bangalore",Semi Furnished,3600,Family / Company,Available now,65000,4,2.0,3000.0,Yes,No,2.0,4.0,4,Independent House,Sanjaynagar
3 BHK Flat for Rent,"Anchepalya, Bangalore",Semi Furnished,1719,Family / Bachelor / Company,Available now,55000,3,2.0,1375.0,Yes,Yes,16.0,30.0,3,Flat,Anchepalya
1 BHK Independent Builder Floor for Rent,"HSR Layout, Bangalore",Semi Furnished,750,Family / Bachelor / Company,"Dec, 2025",27000,1,1.0,700.0,Yes,No,11.0,14.0,1,Independent Builder Floor,HSR Layout
1 BHK Flat for Rent,"Anchepalya, Bangalore",Fully Furnished,607,Family / Bachelor / Company,Available now,30000,1,1.0,485.0,Yes,Yes,17.0,30.0,1,Flat,Anchepalya
4 BHK Flat for Rent,"Anchepalya, Bangalore",Semi Furnished,2100,Family / Bachelor / Company,Available now,55000,3,2.0,1680.0,Yes,Yes,10.0,30.0,4,Flat,Anchepalya
1 BHK Independent House for Rent,"HSR Layout, Bangalore",Semi Furnished,600,Family / Bachelor,Available now,23000,1,1.0,550.0,No,No,3.0,6.0,1,Independent House,HSR Layout
2 BHK Flat for Rent,"Gummanahalli, Bangalore",Semi Furnished,798,Family / Bachelor / Company,Available now,21000,2,1.0,850.0,Yes,Yes,5.0,21.0,2,Flat,Gummanahalli
2 BHK Independent Builder Floor for Rent,"HSR Layout, Bangalore",Semi Furnished,1250,Family / Bachelor,"Dec, 2025",42000,2,2.0,1100.0,Yes,No,2.0,4.0,2,Independent Builder Floor,HSR Layout
2 BHK Flat for Rent,"Sahakara Nagar, Bangalore",Fully Furnished,1200,Family / Bachelor / Company,Available now,32000,2,1.0,1000.0,No,Yes,3.0,4.0,2,Flat,Sahakara Nagar
3 BHK Flat for Rent,"Gunjur Village, Bangalore",Semi Furnished,2134,Family,Available now,70000,3,2.0,850.0,Yes,Yes,4.0,26.0,3,Flat,Gunjur Village
3 BHK Flat for Rent,"Sahakara Nagar, Bangalore",Semi Furnished,1650,Family / Bachelor / Company,Available now,45000,3,3.0,850.0,Yes,No,1.0,5.0,3,Flat,Sahakara Nagar
1 BHK Flat for Rent,"Varthur, Bangalore",Fully Furnished,1099,Family,Available now,38000,1,1.0,680.0,Yes,Yes,16.0,26.0,1,Flat,Varthur
4 BHK Flat for Rent,"Volagerekallahalli, Bangalore",Semi Furnished,1980,Family,Available now,90000,4,2.0,850.0,Yes,Yes,12.0,29.0,4,Flat,Volagerekallahalli
3.5 BHK Villa for Rent,"Agrahara Layout, Bangalore",Semi Furnished,3800,Family / Bachelor,Available now,95000,4,3.0,850.0,No,Yes,3.0,6.0,3.5,Villa,Agrahara Layout
1 BHK Independent Builder Floor for Rent,"HSR Layout, Bangalore",Fully Furnished,600,Family / Bachelor / Company,Available now,25002,1,1.0,520.0,No,Yes,1.0,5.0,1,Independent Builder Floor,HSR Layout
4 BHK Flat for Rent,"Kannuru, Bangalore",Fully Furnished,4110,Family / Bachelor / Company,Available now,400003,4,2.0,3273.0,Yes,Yes,8.0,16.0,4,Flat,Kannuru
1 BHK Flat for Rent,"Kannuru, Bangalore",Fully Furnished,1173,Family / Bachelor / Company,Available now,150000,1,1.0,870.0,Yes,Yes,9.0,26.0,1,Flat,Kannuru
1 BHK Independent Builder Floor for Rent,"HSR Layout, Bangalore",Semi Furnished,650,Family / Bachelor / Company,"Dec, 2025",23000,1,1.0,600.0,No,No,3.0,6.0,1,Independent Builder Floor,HSR Layout
1 BHK Independent Builder Floor for Rent,"Koramangala, Bangalore",Fully Furnished,850,Family / Bachelor,Available now,40000,1,1.0,780.0,No,No,2.0,5.0,1,Independent Builder Floor,Koramangala
1 BHK Independent Builder Floor for Rent,"Koramangala, Bangalore",Fully Furnished,1000,Family / Bachelor,Available now,40100,1,1.0,780.0,No,No,4.0,5.0,1,Independent Builder Floor,Koramangala
2 BHK Flat for Rent,"RR Nagar, Bangalore",Semi Furnished,1200,Family,Available now,18000,2,2.0,1000.0,No,No,1.0,4.0,2,Flat,RR Nagar
1 BHK Independent Builder Floor for Rent,"HSR Layout, Bangalore",Semi Furnished,750,Family,"Dec, 2025",27000,1,1.0,700.0,Yes,No,2.0,4.0,1,Independent Builder Floor,HSR Layout
1 BHK Independent House for Rent,"HSR Layout, Bangalore",Semi Furnished,750,Family / Bachelor,"Dec, 2025",32000,1,1.0,700.0,No,No,3.0,6.0,1,Independent House,HSR Layout
2 BHK Independent House for Rent,"Mahadevapura, Bangalore",Semi Furnished,1200,Family / Bachelor / Company,"Nov, 2025",33000,2,1.0,900.0,No,No,3.0,6.0,2,Independent House,Mahadevapura
1 BHK Independent Builder Floor for Rent,"HSR Layout, Bangalore",Semi Furnished,700,Family / Bachelor,"Dec, 2025",36000,1,1.0,600.0,No,No,4.0,5.0,1,Independent Builder Floor,HSR Layout
2 BHK Flat for Rent,"Thanisandra, Bangalore",Semi Furnished,1105,Family / Bachelor,Available now,40000,2,1.0,1078.0,Yes,Yes,21.0,33.0,2,Flat,Thanisandra
3 BHK Flat for Rent,"Hoodi, Bangalore",Semi Furnished,1817,Family,Available now,82000,3,2.0,1560.0,No,Yes,1.0,16.0,3,Flat,Hoodi
1 BHK Independent House for Rent,"Mahadevapura, Bangalore",Semi Furnished,600,Family / Bachelor / Company,"Dec, 2025",16500,1,1.0,500.0,No,No,3.0,6.0,1,Independent House,Mahadevapura
1 BHK Flat for Rent,"Kannuru, Bangalore",Fully Furnished,1173,Family / Bachelor / Company,Available now,140002,1,2.0,789.0,Yes,Yes,9.0,16.0,1,Flat,Kannuru
1 BHK Independent Builder Floor for Rent,"HSR Layout, Bangalore",Semi Furnished,650,Family / Bachelor,Available now,34000,1,1.0,850.0,No,No,3.0,4.0,1,Independent Builder Floor,HSR Layout
1 BHK Flat for Rent,"HSR Layout, Bangalore",Semi Furnished,650,Family / Bachelor,"Dec, 2025",29000,1,1.0,600.0,No,No,1.0,6.0,1,Flat,HSR Layout
1 BHK Flat for Rent,"R.K. Hegde Nagar, Kothnur Narayanapura",Semi Furnished,550,Family / Bachelor / Company,"Nov, 2025",15000,1,1.0,500.0,Yes,Yes,3.0,4.0,1,Flat,"R.K. Hegde Nagar, Kothnur Narayanapura"
3 BHK Flat for Rent,"GB Palya, Bangalore",Semi Furnished,1750,Family / Bachelor,"Dec, 2025",68000,3,1.0,850.0,No,Yes,7.0,19.0,3,Flat,GB Palya
2 BHK Flat for Rent,"HSR Layout, Bangalore",Semi Furnished,950,Family / Bachelor,Available now,25000,2,1.0,900.0,No,No,3.0,4.0,2,Flat,HSR Layout
1 BHK Independent Builder Floor for Rent,"HSR Layout, Bangalore",Fully Furnished,700,Family / Bachelor / Company,Available now,35250,1,1.0,610.0,Yes,Yes,4.0,6.0,1,Independent Builder Floor,HSR Layout
3.5 BHK Villa for Rent,"Anagalapura, Bangalore",Semi Furnished,3546,Family / Company,Available now,90000,3,2.0,3000.0,Yes,Yes,3.0,6.0,3.5,Villa,Anagalapura
1 BHK Independent Builder Floor for Rent,"Bommanahalli, Bangalore",Semi Furnished,650,Family / Bachelor,Available now,17000,1,1.0,600.0,Yes,No,2.0,3.0,1,Independent Builder Floor,Bommanahalli
3.5 BHK Villa for Rent,"Anagalapura, Bangalore",Semi Furnished,3547,Family / Company,Available now,90000,3,2.0,3000.0,No,Yes,3.0,6.0,3.5,Villa,Anagalapura
3 BHK Flat for Rent,"Varthur, Bangalore",Semi Furnished,1710,Family / Bachelor / Company,Available now,50000,3,1.0,850.0,Yes,Yes,5.0,9.0,3,Flat,Varthur
3 BHK Flat for Rent,"Gummanahalli, Bangalore",Semi Furnished,1400,Family / Bachelor / Company,Available now,30000,2,1.0,1399.0,No,Yes,20.0,20.0,3,Flat,Gummanahalli
5 BHK Flat for Rent,"Hebbal Kempapura, Bangalore",Semi Furnished,8700,Family / Bachelor / Company,Available now,550000,6,3.0,6235.0,Yes,Yes,7.0,21.0,5,Flat,Hebbal Kempapura
2 BHK Independent Builder Floor for Rent,"Sanjaynagar, Bangalore",Semi Furnished,1000,Family / Company,Available now,19000,2,1.0,995.0,No,No,3.0,6.0,2,Independent Builder Floor,Sanjaynagar
2 BHK Flat for Rent,"GB Palya, Bangalore",Semi Furnished,980,Family / Bachelor,Available now,50155,2,1.0,901.0,No,No,2.0,5.0,2,Flat,GB Palya
1 BHK Flat for Rent,"S.G. Palya, Bangalore",Fully Furnished,600,Family / Bachelor,Available now,26999,1,1.0,540.0,Yes,Yes,4.0,5.0,1,Flat,S.G. Palya
1 BHK Flat for Rent,"HSR Layout, Bangalore",Semi Furnished,700,Family / Bachelor / Company,Available now,30000,1,1.0,650.0,Yes,No,5.0,5.0,1,Flat,HSR Layout
2 BHK Flat for Rent,"GB Palya, Bangalore",Semi Furnished,970,Family / Bachelor,Available now,49000,2,1.0,902.0,Yes,No,2.0,5.0,2,Flat,GB Palya
2 BHK Flat for Rent,"R.K. Hegde Nagar, Kothnur Narayanapura",Fully Furnished,1250,Family / Bachelor,Available now,40000,2,2.0,1145.0,Yes,Yes,4.0,11.0,2,Flat,"R.K. Hegde Nagar, Kothnur Narayanapura"
2 BHK Flat for Rent,"Hongasandra, Bangalore",Semi Furnished,1100,Family / Bachelor,Available now,21000,2,1.0,1000.0,Yes,No,3.0,5.0,2,Flat,Hongasandra
2 BHK Flat for Rent,"Choodasandra, Bangalore",Semi Furnished,1000,Family / Bachelor / Company,Available now,42000,2,1.0,850.0,No,Yes,15.0,19.0,2,Flat,Choodasandra
3 BHK Flat for Rent,"Sahakara Nagar, Bangalore",Semi Furnished,1855,Family / Bachelor / Company,Available now,90000,3,2.0,1755.0,Yes,Yes,7.0,14.0,3,Flat,Sahakara Nagar
2 BHK Flat for Rent,"Battarahalli, Bangalore",Semi Furnished,1200,Family / Bachelor,Available now,29999,2,1.0,1150.0,No,No,3.0,5.0,2,Flat,Battarahalli
3 BHK Villa for Rent,"Anagalapura, Bangalore",Semi Furnished,2500,Family / Company,Available now,70000,3,2.0,1800.0,Yes,Yes,3.0,6.0,3,Villa,Anagalapura
3 BHK Flat for Rent,"Armane Nagar, Bangalore",Semi Furnished,3900,Family / Company,Available now,60000,3,1.0,2960.0,No,Yes,1.0,4.0,3,Flat,Armane Nagar
3.5 BHK Penthouse for Rent,"HSR Layout, Bangalore",Fully Furnished,2200,Family,Available now,130000,4,2.0,1800.0,Yes,No,4.0,4.0,3.5,Penthouse,HSR Layout
2 BHK Flat for Rent,"GB Palya, Bangalore",Semi Furnished,1008,Family,Available now,37033,2,1.0,980.0,Yes,No,2.0,5.0,2,Flat,GB Palya
1 BHK Independent Builder Floor for Rent,"Ejipura, Bangalore",Semi Furnished,750,Family / Bachelor,Available now,21500,1,1.0,700.0,No,No,2.0,5.0,1,Independent Builder Floor,Ejipura
1 BHK Flat for Rent,"Jakkur, Bangalore",Semi Furnished,675,Family / Bachelor,Available now,16000,1,1.0,585.0,Yes,No,3.0,6.0,1,Flat,Jakkur
2 BHK Flat for Rent,"Dasarahalli, Byatarayanapura CMC And OG Part",Semi Furnished,950,Family / Bachelor / Company,Available now,21000,2,1.0,850.0,No,Yes,2.0,4.0,2,Flat,"Dasarahalli, Byatarayanapura CMC And OG Part"
2 BHK Flat for Rent,"R.K. Hegde Nagar, Kothnur Narayanapura",Semi Furnished,950,Family / Bachelor,Available now,20000,2,1.0,800.0,Yes,No,3.0,6.0,2,Flat,"R.K. Hegde Nagar, Kothnur Narayanapura"
3 BHK Villa for Rent,"Anagalapura, Bangalore",Semi Furnished,2490,Family / Company,Available now,71000,3,2.0,1800.0,No,Yes,3.0,6.0,3,Villa,Anagalapura
2 BHK Flat for Rent,"Jakkur, Bangalore",Fully Furnished,1043,Family / Bachelor,Available now,45000,2,1.0,900.0,Yes,Yes,2.0,15.0,2,Flat,Jakkur
2.5 BHK Flat for Rent,"Kannuru, Bangalore",Fully Furnished,1265,Family / Bachelor / Company,"Aug, 2029",50000,2,1.0,850.0,No,Yes,17.0,22.0,2.5,Flat,Kannuru
1 BHK Flat for Rent,"BTM Layout, Bangalore",Fully Furnished,699,Family / Bachelor / Company,Available now,27500,1,1.0,596.0,Yes,Yes,1.0,6.0,1,Flat,BTM Layout
1 BHK Flat for Rent,"R.K. Hegde Nagar, Kothnur Narayanapura",Semi Furnished,685,Family / Bachelor / Company,"Dec, 2025",18000,1,1.0,600.0,No,Yes,1.0,4.0,1,Flat,"R.K. Hegde Nagar, Kothnur Narayanapura"
1 BHK Independent House for Rent,"Mahadevapura, Bangalore",Semi Furnished,700,Family / Bachelor / Company,"Dec, 2025",24000,1,1.0,600.0,No,No,3.0,6.0,1,Independent House,Mahadevapura
