Title,Locality,Furnishing,Built_up_area,Lease_type,Available_from,Price,Bathrooms,Balcony,Carpet_area,Gas_Pipeline,Gate_Community,Floor_number,Total_floors
4 BHK Flat for Rent,"Whitefield, Bangalore",Semi Furnished,2205,Family / Company,Available now,"95,000",4,3,,Yes,Yes,10,18
2 BHK Flat for Rent,"Gummanahalli, Bangalore",Semi Furnished,974,Family / Bachelor / Company,Available now,"20,000",2,1,,No,Yes,4,21
4 BHK Flat for Rent,"Koramangala, Bangalore",Semi Furnished,2403,Family / Company,Available now,"2,00,000",5,3,2305,Yes,Yes,8,15
2.5 BHK Flat for Rent,"Whitefield, Bangalore",Semi Furnished,1447,Family / Bachelor,Available now,"66,500",2,1,,No,No,4,17
1 BHK Flat for Rent,"BTM Layout, Bangalore",Fully Furnished,600,Family / Bachelor / Company,Available now,"20,000",1,,550,Yes,Yes,3,5
3 BHK Flat for Rent,"Narayanapura, Bangalore",Semi Furnished,1305,Family / Bachelor / Company,Available now,"40,001",3,2,1023,Yes,Yes,3,21
2 BHK Flat for Rent,"Electronic City Phase 2, Bangalore",Semi Furnished,830,Family / Bachelor,Available now,"22,000",2,1,,No,Yes,7,10
1 BHK Independent Builder Floor for Rent,"HSR Layout, Bangalore",Fully Furnished,720,Family / Bachelor / Company,Available now,"35,009",1,1,610,Yes,Yes,4,6
2 BHK Flat for Rent,"Electronic City, Bangalore",Semi Furnished,1211,Family,Available now,"41,500",2,3,1014,Yes,Yes,19,21
2.5 BHK Flat for Rent,"Whitefield, Bangalore",Semi Furnished,1447,Family / Bachelor,Available now,"67,000",2,1,,No,No,4,17
3 BHK Duplex for Rent,"Byrathi, Bangalore",Semi Furnished,1800,Family / Company,Available now,"37,000",3,4,,Yes,Yes,1,3
3 BHK Flat for Rent,"Sahakara Nagar, Bangalore",Fully Furnished,1360,Family / Bachelor,"Mar, 2026","65,000",3,2,1134,Yes,Yes,5,14
3 BHK Flat for Rent,"Kannuru, Bangalore",Fully Furnished,3144,Family / Bachelor / Company,Available now,"2,75,003",4,2,2644,Yes,Yes,6,16
3 BHK Flat for Rent,"Hebbal Kempapura, Bangalore",Fully Furnished,3449,Family / Bachelor,Available now,"1,50,000",3,3,,No,Yes,9,13
1 BHK Independent Builder Floor for Rent,"BTM Layout, Bangalore",Fully Furnished,550,Family / Bachelor / Company,Available now,"26,500",1,,490,Yes,Yes,3,6
1 BHK Independent Builder Floor for Rent,"BTM Layout, Bangalore",Fully Furnished,550,Family / Bachelor / Company,Available now,"27,000",1,,490,Yes,Yes,4,6
3 BHK Flat for Rent,"Thanisandra, Bangalore",Semi Furnished,1637,Family / Bachelor / Company,Available now,"55,005",3,1,1633,Yes,Yes,23,33
2 BHK Independent Builder Floor for Rent,"Ejipura, Bangalore",Semi Furnished,1000,Family / Bachelor,Available now,"32,000",2,1,900,No,No,2,3
2 BHK Flat for Rent,"Ejipura, Bangalore",Semi Furnished,900,Family / Bachelor,Available now,"22,500",1,,850,No,No,3,5
1 BHK Flat for Rent,"Bilekahalli, Bangalore",Semi Furnished,850,Family / Bachelor / Company,Available now,"22,000",1,1,750,No,Yes,5,5
2 BHK Flat for Rent,"Yelahanka, Bangalore",Semi Furnished,1400,Family / Bachelor / Company,Available now,"45,000",2,1,1350,No,Yes,13,18
1 BHK Independent Builder Floor for Rent,"BTM Layout, Bangalore",Fully Furnished,550,Family / Bachelor / Company,Available now,"25,600",1,,490,Yes,Yes,3,6
1 BHK Independent Builder Floor for Rent,"BTM Layout, Bangalore",Fully Furnished,550,Family / Bachelor / Company,Available now,"25,000",1,,490,Yes,Yes,2,6
2 BHK Flat for Rent,"Doddakannelli, Bangalore",Semi Furnished,1350,Family / Bachelor,Available now,"56,000",2,1,1050,Yes,Yes,4,20
1 BHK Flat for Rent,"Bilekahalli, Bangalore",Semi Furnished,850,Family / Bachelor / Company,Available now,"22,000",1,1,,No,Yes,5,6
1 BHK Independent Builder Floor for Rent,"BTM Layout, Bangalore",Fully Furnished,550,Family / Bachelor / Company,Available now,"27,005",1,,490,Yes,Yes,3,6
3 BHK Flat for Rent,"Kaggadasapura, Bangalore",Semi Furnished,1600,Family / Bachelor,Available now,"60,000",2,3,1560,No,Yes,5,5
1 BHK Independent Builder Floor for Rent,"BTM Layout, Bangalore",Fully Furnished,550,Family / Bachelor / Company,Available now,"26,000",1,,490,Yes,Yes,3,6
3 BHK Flat for Rent,"K R Puram, Bangalore",Semi Furnished,1581,Family,Available now,"65,000",3,2,1550,No,Yes,22,24
3 BHK Villa for Rent,"Anagalapura, Bangalore",Semi Furnished,2400,Family / Company,Available now,"70,000",3,2,1800,No,Yes,,
1 BHK Flat for Rent,"BTM Layout, Bangalore",Fully Furnished,680,Family / Bachelor,Available now,"26,000",1,,570,Yes,Yes,3,6
3 BHK Flat for Rent,"Yelahanka, Bangalore",Semi Furnished,1880,Family / Bachelor,Available now,"75,000",3,1,1600,No,No,6,25
2 BHK Independent Builder Floor for Rent,"Yelahanka, Bangalore",Semi Furnished,1500,Family / Bachelor / Company,Available now,"27,000",2,1,,Yes,No,2,4
3 BHK Flat for Rent,"HSR Layout, Bangalore",Semi Furnished,2000,Family / Bachelor,Available now,"1,00,000",3,1,,No,Yes,1,4
2 BHK Flat for Rent,"Anchepalya, Bangalore",Semi Furnished,1085,Family / Bachelor / Company,Available now,"36,000",2,1,868,Yes,Yes,11,30
1 BHK Flat for Rent,"Brookefield, Bangalore",Semi Furnished,650,Family / Bachelor,Available now,"30,000",1,1,600,No,No,2,6
1 BHK Independent Builder Floor for Rent,"BTM Layout, Bangalore",Fully Furnished,550,Family / Bachelor / Company,Available now,"28,500",1,,440,Yes,Yes,2,6
2 BHK Flat for Rent,"Gummanahalli, Bangalore",Semi Furnished,750,Family / Bachelor / Company,Available now,"20,001",2,1,563,Yes,Yes,15,21
1 BHK Independent Builder Floor for Rent,"BTM Layout, Bangalore",Fully Furnished,550,Family / Bachelor / Company,Available now,"29,000",1,,440,Yes,Yes,2,6
1 BHK Flat for Rent,"BTM Layout, Bangalore",Fully Furnished,620,Family / Bachelor / Company,Available now,"25,500",1,,600,Yes,Yes,3,6
1 BHK Flat for Rent,"HSR Layout, Bangalore",Fully Furnished,650,Family / Bachelor,Available now,"33,000",1,,500,No,No,1,4
1 BHK Flat for Rent,"BTM Layout, Bangalore",Fully Furnished,650,Family / Bachelor,Available now,"25,500",1,,570,Yes,No,3,5
2 BHK Flat for Rent,"Anchepalya, Bangalore",Semi Furnished,984,Family / Bachelor / Company,Available now,"30,000",2,1,787,Yes,Yes,13,30
3 BHK Flat for Rent,"Narayanapura, Bangalore",Semi Furnished,1305,Family / Bachelor / Company,Available now,"40,000",3,2,1244,Yes,Yes,3,21
1 BHK Independent Builder Floor for Rent,"BTM Layout, Bangalore",Fully Furnished,550,Family / Bachelor / Company,Available now,"28,000",1,,440,Yes,Yes,2,6
2 BHK Flat for Rent,"Anchepalya, Bangalore",Fully Furnished,984,Family / Bachelor / Company,Available now,"40,000",2,1,787,Yes,Yes,23,30
3 BHK Flat for Rent,"Anchepalya, Bangalore",Fully Furnished,1388,Family / Bachelor / Company,Available now,"45,000",3,1,1110,Yes,Yes,24,30
3 BHK Flat for Rent,"Narayanapura, Bangalore",Semi Furnished,1700,Family / Bachelor,Available now,"52,000",3,1,1400,Yes,Yes,5,17
1 BHK Flat for Rent,"BTM Layout, Bangalore",Fully Furnished,550,Family / Bachelor,Available now,"27,999",1,1,500,Yes,Yes,3,5
1 BHK Independent Builder Floor for Rent,"HSR Layout, Bangalore",Semi Furnished,750,Family / Bachelor / Company,"Dec, 2025","23,000",1,1,650,Yes,No,2,2
1 BHK Independent Builder Floor for Rent,"HSR Layout, Bangalore",Fully Furnished,600,Family / Bachelor,Available now,"37,000",1,1,,No,No,2,5
2 BHK Flat for Rent,"Kattigenahalli, Bangalore",Semi Furnished,1200,Family / Bachelor / Company,Available now,"39,000",2,1,,Yes,Yes,1,4
2 BHK Flat for Rent,"Kannuru, Bangalore",Fully Furnished,2024,Family / Bachelor / Company,Available now,"1,90,002",2,1,1560,Yes,Yes,15,16
2 BHK Flat for Rent,"Yeswanthpur, Bangalore",Semi Furnished,1102,Family / Bachelor / Company,Available now,"40,000",2,1,980,Yes,Yes,5,9
1 BHK Flat for Rent,"Bilekahalli, Bangalore",Semi Furnished,1000,Family / Bachelor / Company,Available now,"20,000",1,1,750,No,Yes,3,5
2 BHK Flat for Rent,"Yeswanthpur, Bangalore",Semi Furnished,1400,Family / Bachelor / Company,Available now,"45,000",2,3,1120,Yes,Yes,8,24
3 BHK Flat for Rent,"Yeswanthpur, Bangalore",Fully Furnished,1535,Family / Bachelor / Company,Available now,"45,000",2,2,1228,Yes,Yes,9,24
3 BHK Flat for Rent,"Yeswanthpur, Bangalore",Fully Furnished,1825,Family / Bachelor / Company,Available now,"50,000",2,3,1460,Yes,Yes,17,24
1 BHK Flat for Rent,"Bilekahalli, Bangalore",Fully Furnished,1000,Family / Bachelor / Company,Available now,"25,000",1,1,750,No,Yes,5,6
2.5 BHK Flat for Rent,"Narayanapura, Bangalore",Fully Furnished,1445,Family / Bachelor,"Dec, 2025","48,000",2,1,,Yes,Yes,8,17
1 BHK Flat for Rent,"Kannuru, Bangalore",Fully Furnished,1074,Family / Bachelor / Company,Available now,"1,40,002",2,1,760,Yes,Yes,9,16
1 BHK Flat for Rent,"Anchepalya, Bangalore",Semi Furnished,607,Family / Bachelor / Company,Available now,"25,000",1,1,485,Yes,Yes,15,30
1 BHK Independent Builder Floor for Rent,"BTM Layout, Bangalore",Fully Furnished,550,Family / Bachelor / Company,Available now,"27,000",1,,440,Yes,Yes,2,6
2 BHK Flat for Rent,"Yeswanthpur, Bangalore",Fully Furnished,1400,Family / Bachelor / Company,Available now,"50,000",2,3,1120,Yes,Yes,11,24
3 BHK Flat for Rent,"Yeswanthpur, Bangalore",Semi Furnished,1825,Family / Bachelor / Company,Available now,"55,000",2,3,1460,Yes,Yes,21,24
3 BHK Flat for Rent,"Anchepalya, Bangalore",Fully Furnished,1388,Family / Bachelor / Company,Available now,"45,000",3,1,1110,Yes,Yes,16,30
3 BHK Flat for Rent,"Anchepalya, Bangalore",Semi Furnished,1388,Family,Available now,"40,000",3,1,1110,Yes,Yes,15,30
1 BHK Independent Builder Floor for Rent,"HSR Layout, Bangalore",Semi Furnished,750,Family / Bachelor / Company,"Dec, 2025","28,000",1,1,700,Yes,No,3,4
2 BHK Flat for Rent,"Ashok Nagar, Bangalore",Semi Furnished,1300,Family,Available now,"68,000",2,,,Yes,Yes,6,8
3 BHK Flat for Rent,"Cox Town, Bangalore",Semi Furnished,3372,Family / Bachelor / Company,"Dec, 2025","2,02,000",5,5,2900,No,Yes,10,22
2 BHK Flat for Rent,"Kothanur, Bangalore",Semi Furnished,1300,Family / Company,"Dec, 2025","37,000",2,2,,Yes,Yes,2,4
3 BHK Flat for Rent,"Kothanur, Bangalore",Semi Furnished,1750,Family / Company,"Dec, 2025","47,000",3,3,,Yes,Yes,2,4
2 BHK Flat for Rent,"Anchepalya, Bangalore",Unfurnished,1085,Family / Bachelor / Company,Available now,"32,000",2,1,868,Yes,Yes,25,30
3 BHK Flat for Rent,"Gummanahalli, Bangalore",Semi Furnished,1200,Family / Bachelor / Company,Available now,"26,000",2,1,,No,Yes,4,21
1 BHK Flat for Rent,"BTM Layout, Bangalore",Fully Furnished,580,Family / Bachelor,Available now,"26,000",1,,550,Yes,Yes,3,5
3 BHK Flat for Rent,"C V Raman Nagar, Bangalore",Semi Furnished,1700,Family,Available now,"63,000",3,3,1650,No,Yes,3,7
2 BHK Independent Builder Floor for Rent,"HSR Layout, Bangalore",Semi Furnished,1200,Family / Bachelor,Available now,"41,000",2,1,1100,Yes,No,3,4
2 BHK Flat for Rent,"Anchepalya, Bangalore",Fully Furnished,1085,Family / Bachelor / Company,Available now,"40,000",2,1,868,Yes,Yes,18,30
4 BHK Independent House for Rent,"Sanjaynagar, Bangalore",Semi Furnished,3600,Family / Company,Available now,"65,000",4,2,3000,Yes,No,2,4
3 BHK Flat for Rent,"Anchepalya, Bangalore",Semi Furnished,1719,Family / Bachelor / Company,Available now,"55,000",3,2,1375,Yes,Yes,16,30
1 BHK Independent Builder Floor for Rent,"HSR Layout, Bangalore",Semi Furnished,750,Family / Bachelor / Company,"Dec, 2025","27,000",1,1,700,Yes,No,11,14
1 BHK Flat for Rent,"Anchepalya, Bangalore",Fully Furnished,607,Family / Bachelor / Company,Available now,"30,000",1,1,485,Yes,Yes,17,30
4 BHK Flat for Rent,"Anchepalya, Bangalore",Semi Furnished,2100,Family / Bachelor / Company,Available now,"55,000",3,2,1680,Yes,Yes,10,30
1 BHK Independent House for Rent,"HSR Layout, Bangalore",Semi Furnished,600,Family / Bachelor,Available now,"23,000",1,,550,No,No,,
2 BHK Flat for Rent,"Gummanahalli, Bangalore",Semi Furnished,798,Family / Bachelor / Company,Available now,"21,000",2,1,,Yes,Yes,5,21
2 BHK Independent Builder Floor for Rent,"HSR Layout, Bangalore",Semi Furnished,1250,Family / Bachelor,"Dec, 2025","42,000",2,2,1100,Yes,No,2,4
2 BHK Flat for Rent,"Sahakara Nagar, Bangalore",Fully Furnished,1200,Family / Bachelor / Company,Available now,"32,000",2,1,1000,No,Yes,3,4
3 BHK Flat for Rent,"Gunjur Village, Bangalore",Semi Furnished,2134,Family,Available now,"70,000",3,2,,Yes,Yes,4,26
3 BHK Flat for Rent,"Sahakara Nagar, Bangalore",Semi Furnished,1650,Family / Bachelor / Company,Available now,"45,000",3,3,,Yes,No,1,5
1 BHK Flat for Rent,"Varthur, Bangalore",Fully Furnished,1099,Family,Available now,"38,000",1,1,680,Yes,Yes,16,26
4 BHK Flat for Rent,"Volagerekallahalli, Bangalore",Semi Furnished,1980,Family,Available now,"90,000",4,2,,Yes,Yes,12,29
3.5 BHK Villa for Rent,"Agrahara Layout, Bangalore",Semi Furnished,3800,Family / Bachelor,Available now,"95,000",4,3,,No,Yes,,
1 BHK Independent Builder Floor for Rent,"HSR Layout, Bangalore",Fully Furnished,600,Family / Bachelor / Company,Available now,"25,002",1,1,520,No,Yes,1,5
4 BHK Flat for Rent,"Kannuru, Bangalore",Fully Furnished,4110,Family / Bachelor / Company,Available now,"4,00,003",4,2,3273,Yes,Yes,8,16
1 BHK Flat for Rent,"Kannuru, Bangalore",Fully Furnished,1173,Family / Bachelor / Company,Available now,"1,50,000",1,1,870,Yes,Yes,9,26
1 BHK Independent Builder Floor for Rent,"HSR Layout, Bangalore",Semi Furnished,650,Family / Bachelor / Company,"Dec, 2025","23,000",1,1,600,No,No,,
1 BHK Independent Builder Floor for Rent,"Koramangala, Bangalore",Fully Furnished,850,Family / Bachelor,Available now,"40,000",1,1,780,No,No,2,5
1 BHK Independent Builder Floor for Rent,"Koramangala, Bangalore",Fully Furnished,1000,Family / Bachelor,Available now,"40,100",1,1,780,No,No,4,5
2 BHK Flat for Rent,"RR Nagar, Bangalore",Semi Furnished,1200,Family,Available now,"18,000",2,2,1000,No,No,1,4
1 BHK Independent Builder Floor for Rent,"HSR Layout, Bangalore",Semi Furnished,750,Family,"Dec, 2025","27,000",1,1,700,Yes,No,2,4
1 BHK Independent House for Rent,"HSR Layout, Bangalore",Semi Furnished,750,Family / Bachelor,"Dec, 2025","32,000",1,,700,No,No,,
2 BHK Independent House for Rent,"Mahadevapura, Bangalore",Semi Furnished,1200,Family / Bachelor / Company,"Nov, 2025","33,000",2,1,900,No,No,,
1 BHK Independent Builder Floor for Rent,"HSR Layout, Bangalore",Semi Furnished,700,Family / Bachelor,"Dec, 2025","36,000",1,1,600,No,No,4,5
2 BHK Flat for Rent,"Thanisandra, Bangalore",Semi Furnished,1105,Family / Bachelor,Available now,"40,000",2,1,1078,Yes,Yes,21,33
3 BHK Flat for Rent,"Hoodi, Bangalore",Semi Furnished,1817,Family,Available now,"82,000",3,2,1560,No,Yes,1,16
1 BHK Independent House for Rent,"Mahadevapura, Bangalore",Semi Furnished,600,Family / Bachelor / Company,"Dec, 2025","16,500",1,,500,No,No,,
1 BHK Flat for Rent,"Kannuru, Bangalore",Fully Furnished,1173,Family / Bachelor / Company,Available now,"1,40,002",1,2,789,Yes,Yes,9,16
1 BHK Independent Builder Floor for Rent,"HSR Layout, Bangalore",Semi Furnished,650,Family / Bachelor,Available now,"34,000",1,1,,No,No,3,4
1 BHK Flat for Rent,"HSR Layout, Bangalore",Semi Furnished,650,Family / Bachelor,"Dec, 2025","29,000",1,1,600,No,No,1,6
1 BHK Flat for Rent,"R.K. Hegde Nagar, Kothnur Narayanapura",Semi Furnished,550,Family / Bachelor / Company,"Nov, 2025","15,000",1,1,500,Yes,Yes,3,4
3 BHK Flat for Rent,"GB Palya, Bangalore",Semi Furnished,1750,Family / Bachelor,"Dec, 2025","68,000",3,1,,No,Yes,7,19
2 BHK Flat for Rent,"HSR Layout, Bangalore",Semi Furnished,950,Family / Bachelor,Available now,"25,000",2,,900,No,No,3,4
1 BHK Independent Builder Floor for Rent,"HSR Layout, Bangalore",Fully Furnished,700,Family / Bachelor / Company,Available now,"35,250",1,1,610,Yes,Yes,4,6
3.5 BHK Villa for Rent,"Anagalapura, Bangalore",Semi Furnished,3546,Family / Company,Available now,"90,000",3,2,3000,Yes,Yes,,
1 BHK Independent Builder Floor for Rent,"Bommanahalli, Bangalore",Semi Furnished,650,Family / Bachelor,Available now,"17,000",1,,600,Yes,No,2,3
3.5 BHK Villa for Rent,"Anagalapura, Bangalore",Semi Furnished,3547,Family / Company,Available now,"90,000",3,2,3000,No,Yes,,
3 BHK Flat for Rent,"Varthur, Bangalore",Semi Furnished,1710,Family / Bachelor / Company,Available now,"50,000",3,1,,Yes,Yes,5,9
3 BHK Flat for Rent,"Gummanahalli, Bangalore",Semi Furnished,1400,Family / Bachelor / Company,Available now,"30,000",2,1,1399,No,Yes,20,20
5 BHK Flat for Rent,"Hebbal Kempapura, Bangalore",Semi Furnished,8700,Family / Bachelor / Company,Available now,"5,50,000",6,3,6235,Yes,Yes,7,21
2 BHK Independent Builder Floor for Rent,"Sanjaynagar, Bangalore",Semi Furnished,1000,Family / Company,Available now,"19,000",2,,995,No,No,,
2 BHK Flat for Rent,"GB Palya, Bangalore",Semi Furnished,980,Family / Bachelor,Available now,"50,155",2,1,901,No,No,2,5
1 BHK Flat for Rent,"S.G. Palya, Bangalore",Fully Furnished,600,Family / Bachelor,Available now,"26,999",1,,540,Yes,Yes,4,5
1 BHK Flat for Rent,"HSR Layout, Bangalore",Semi Furnished,700,Family / Bachelor / Company,Available now,"30,000",1,1,650,Yes,No,5,5
2 BHK Flat for Rent,"GB Palya, Bangalore",Semi Furnished,970,Family / Bachelor,Available now,"49,000",2,1,902,Yes,No,2,5
2 BHK Flat for Rent,"R.K. Hegde Nagar, Kothnur Narayanapura",Fully Furnished,1250,Family / Bachelor,Available now,"40,000",2,2,1145,Yes,Yes,4,11
2 BHK Flat for Rent,"Hongasandra, Bangalore",Semi Furnished,1100,Family / Bachelor,Available now,"21,000",2,1,1000,Yes,No,3,5
2 BHK Flat for Rent,"Choodasandra, Bangalore",Semi Furnished,1000,,Available now,"42,000",2,1,,No,Yes,15,19
3 BHK Flat for Rent,"Sahakara Nagar, Bangalore",Semi Furnished,1855,Family / Bachelor / Company,Available now,"90,000",3,2,1755,Yes,Yes,7,14
2 BHK Flat for Rent,"Battarahalli, Bangalore",Semi Furnished,1200,Family / Bachelor,Available now,"29,999",2,1,1150,No,No,3,5
3 BHK Villa for Rent,"Anagalapura, Bangalore",Semi Furnished,2500,Family / Company,Available now,"70,000",3,2,1800,Yes,Yes,,
3 BHK Flat for Rent,"Armane Nagar, Bangalore",Semi Furnished,3900,Family / Company,Available now,"60,000",3,1,2960,No,Yes,1,4
3.5 BHK Penthouse for Rent,"HSR Layout, Bangalore",Fully Furnished,2200,Family,Available now,"1,30,000",4,2,1800,Yes,No,4,4
2 BHK Flat for Rent,"GB Palya, Bangalore",Semi Furnished,1008,Family,Available now,"37,033",2,1,980,Yes,No,2,5
1 BHK Independent Builder Floor for Rent,"Ejipura, Bangalore",Semi Furnished,750,Family / Bachelor,Available now,"21,500",1,1,700,No,No,2,5
1 BHK Flat for Rent,"Jakkur, Bangalore",Semi Furnished,675,Family / Bachelor,Available now,"16,000",1,1,585,Yes,No,,
2 BHK Flat for Rent,"Dasarahalli, Byatarayanapura CMC And OG Part",Semi Furnished,950,Family / Bachelor / Company,Available now,"21,000",2,1,850,No,Yes,2,4
2 BHK Flat for Rent,"R.K. Hegde Nagar, Kothnur Narayanapura",Semi Furnished,950,Family / Bachelor,Available now,"20,000",2,1,800,Yes,No,,
3 BHK Villa for Rent,"Anagalapura, Bangalore",Semi Furnished,2490,Family / Company,Available now,"71,000",3,2,1800,No,Yes,,
2 BHK Flat for Rent,"Jakkur, Bangalore",Fully Furnished,1043,Family / Bachelor,Available now,"45,000",2,1,900,Yes,Yes,2,15
2.5 BHK Flat for Rent,"Kannuru, Bangalore",Fully Furnished,1265,Family / Bachelor / Company,"Aug, 2029","50,000",2,1,,No,Yes,17,22
1 BHK Flat for Rent,"BTM Layout, Bangalore",Fully Furnished,699,Family / Bachelor / Company,Available now,"27,500",1,1,596,Yes,Yes,1,6
1 BHK Flat for Rent,"R.K. Hegde Nagar, Kothnur Narayanapura",Semi Furnished,685,Family / Bachelor / Company,"Dec, 2025","18,000",1,1,600,No,Yes,1,4
1 BHK Independent House for Rent,"Mahadevapura, Bangalore",Semi Furnished,700,Family / Bachelor / Company,"Dec, 2025","24,000",1,1,600,No,No,,
1 BHK Flat for Rent,"BTM Layout, Bangalore",Fully Furnished,767,Family / Bachelor / Company,Available now,"27,500",1,,689,Yes,Yes,2,6
1 BHK Independent House for Rent,"Mahadevapura, Bangalore",Semi Furnished,700,Family / Bachelor / Company,"Dec, 2025","23,500",1,1,,No,No,,
2 BHK Independent Builder Floor for Rent,"Ejipura, Bangalore",Fully Furnished,1000,Family / Bachelor,Available now,"38,000",2,1,950,No,No,1,4
4 BHK Flat for Rent,"Thanisandra, Bangalore",Fully Furnished,2259,Family / Bachelor / Company,Available now,"1,50,000",4,1,1567,Yes,Yes,11,33
2 BHK Flat for Rent,"Jakkur, Bangalore",Semi Furnished,1080,Family / Bachelor,Available now,"24,000",2,1,950,Yes,No,1,3
2.5 BHK Flat for Rent,"Subramanyapura, Bangalore",Semi Furnished,1357,Family,Available now,"40,000",2,1,1050,No,Yes,12,18
3 BHK Flat for Rent,"Nagavara, Bangalore",Semi Furnished,2300,Family / Company,Available now,"1,00,000",3,1,1980,No,Yes,4,34
2 BHK Flat for Rent,"GB Palya, Bangalore",Semi Furnished,980,Family / Bachelor,Available now,"50,121",2,1,901,No,No,2,5
2 BHK Flat for Rent,"GB Palya, Bangalore",Semi Furnished,970,Family / Bachelor,Available now,"49,121",2,1,902,Yes,No,2,5
2 BHK Independent Builder Floor for Rent,"HSR Layout, Bangalore",Semi Furnished,800,Family / Bachelor,Available now,"30,000",2,,,No,No,2,4
2 BHK Flat for Rent,"Jakkur, Bangalore",Semi Furnished,1155,Family / Bachelor,Available now,"28,000",2,2,1050,Yes,No,1,4
2 BHK Flat for Rent,"GB Palya, Bangalore",Semi Furnished,1002,Family / Bachelor,Available now,"50,000",2,1,960,No,No,2,5
2 BHK Flat for Rent,"GB Palya, Bangalore",Semi Furnished,980,Family / Bachelor,Available now,"50,001",2,1,901,No,No,2,5
2 BHK Flat for Rent,"GB Palya, Bangalore",Semi Furnished,1002,Family / Bachelor,Available now,"50,022",2,1,960,No,No,2,5
2 BHK Independent House for Rent,"Chikkanekkundi, Bangalore",Semi Furnished,1010,Family / Bachelor / Company,Available now,"15,500",2,,1000,No,No,,
1 BHK Independent Builder Floor for Rent,"Muneshwara Nagar, Bangalore",Semi Furnished,600,Family / Bachelor,Available now,"32,000",1,1,550,No,No,4,5
1 BHK Independent Builder Floor for Rent,"Somasundarapalya, Bangalore",Semi Furnished,600,Family / Bachelor / Company,"Dec, 2025","26,000",1,1,570,Yes,No,4,5
3 BHK Flat for Rent,"Sanjaynagar, Bangalore",Semi Furnished,2200,Family / Company,Available now,"75,000",3,1,2000,Yes,No,2,4
2 BHK Independent Builder Floor for Rent,"JP Nagar, Bangalore",Semi Furnished,850,Family / Bachelor / Company,Available now,"25,000",2,,800,No,No,,
2 BHK Independent House for Rent,"Mahadevapura, Bangalore",Semi Furnished,1200,Family / Bachelor,Available now,"33,000",2,1,800,No,No,,
2 BHK Flat for Rent,"Doddakannelli, Bangalore",Semi Furnished,1250,Family / Bachelor / Company,"Dec, 2025","53,000",2,1,957,Yes,Yes,12,18
2 BHK Flat for Rent,"HBR Layout, Bangalore",Semi Furnished,1100,Family / Bachelor / Company,Available now,"25,000",2,2,1040,Yes,No,2,4
1 BHK Flat for Rent,"Thanisandra, Bangalore",Semi Furnished,690,Family / Bachelor / Company,Available now,"18,000",1,1,600,Yes,No,1,4
1 BHK Independent Builder Floor for Rent,"Somasundarapalya, Bangalore",Semi Furnished,550,Family / Bachelor,Available now,"25,000",1,1,500,Yes,No,4,5
1 BHK Independent Builder Floor for Rent,"HSR Layout, Bangalore",Semi Furnished,600,Family,Available now,"27,000",1,,,Yes,No,4,4
3 BHK Flat for Rent,"Sanjaynagar, Bangalore",Semi Furnished,1750,Family / Company,Available now,"65,000",3,2,1600,Yes,Yes,2,4
5 BHK Duplex for Rent,"Virupakshapura, Bangalore",Semi Furnished,3600,Family,Available now,"55,000",4,3,2500,No,No,1,2
2 BHK Flat for Rent,"Hebbal Kempapura, Bangalore",Semi Furnished,1165,Family / Bachelor,Available now,"28,000",2,1,1085,Yes,Yes,2,5
1 BHK Flat for Rent,"Thanisandra, Bangalore",Fully Furnished,716,Family / Bachelor / Company,Available now,"23,000",1,1,600,Yes,Yes,2,4
3 BHK Flat for Rent,"R.K. Hegde Nagar, Bangalore",Semi Furnished,1855,Family / Bachelor / Company,Available now,"40,000",3,2,1710,Yes,Yes,3,5
1 BHK Flat for Rent,"BTM Layout, Bangalore",Semi Furnished,672,Family / Bachelor / Company,Available now,"14,000",1,,622,Yes,No,2,6
1 RK Independent Builder Floor for Rent,"HSR Layout, Bangalore",Semi Furnished,250,Bachelor,Available now,"18,000",1,,,No,No,,
1.5 BHK Flat for Rent,"Dasarahalli, Byatarayanapura CMC And OG Part",Semi Furnished,700,Family / Bachelor / Company,Available now,"18,000",1,1,600,No,No,2,4
2 BHK Flat for Rent,"Kaval Bairasandra, Bangalore",Semi Furnished,900,Family,Available now,"22,000",2,,,No,No,4,4
1 BHK Flat for Rent,"Whitefield, Bangalore",Semi Furnished,1200,Family / Bachelor,Available now,"30,000",2,1,1100,No,No,1,5
3 BHK Flat for Rent,"RMV Extension Stage 2, Bangalore",Semi Furnished,2200,Family / Company,Available now,"80,000",3,2,1800,Yes,Yes,3,4
2 BHK Independent House for Rent,"HSR Layout, Bangalore",Semi Furnished,1100,Family / Bachelor,Available now,"42,000",2,1,,No,No,,
1 BHK Flat for Rent,"BTM Layout, Bangalore",Semi Furnished,720,Family / Bachelor / Company,Available now,"14,500",1,,621,Yes,No,1,6
1 BHK Flat for Rent,"Jakkur, Bangalore",Semi Furnished,600,Family / Bachelor / Company,Available now,"17,000",1,1,550,Yes,Yes,,
3 BHK Flat for Rent,"Nagavara, Bangalore",Fully Furnished,2347,Family / Company,Available now,"1,20,000",3,1,1908,No,Yes,24,34
2 BHK Flat for Rent,"Varthur, Bangalore",Semi Furnished,1190,Family / Bachelor,Available now,"32,000",2,1,1000,Yes,Yes,,
1 BHK Independent Builder Floor for Rent,"HSR Layout, Bangalore",Fully Furnished,600,Family / Bachelor / Company,Available now,"25,000",1,1,520,No,Yes,1,5
